date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-27,Netherlands,1,0,1,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Netherlands,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-29,Netherlands,6,0,5,0,1,2020,2,29,5,1,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,6.472073004983496e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-01,Netherlands,10,0,4,0,1,2020,3,1,6,1,1,0.0,,,2.5,0.0,2.0977759379505848e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.71377215265089e-05,0.0
2020-03-02,Netherlands,18,0,8,0,1,2020,3,2,0,0,1,0.0,,,3.6,0.0,3.962465660573327e-06,0.0,0.00010355316807973594,0.0,0.0,,,5.3478318998172826e-05,0.0
2020-03-03,Netherlands,24,0,6,0,1,2020,3,3,1,0,1,0.0,,,4.0,0.0,5.360982952540383e-06,0.0,7.766487605980195e-05,0.0,0.0,,,5.942035444241425e-05,0.0
2020-03-04,Netherlands,38,0,14,0,1,2020,3,4,2,0,1,0.0,,,5.428571428571429,0.0,8.624189967130182e-06,0.0,0.0001812180441395379,0.0,0.0,,,8.064190960041935e-05,0.0
2020-03-05,Netherlands,82,0,44,0,1,2020,3,5,3,0,1,0.0,81.0,,11.571428571428571,0.0,1.8879983441555262e-05,0.0,0.0005695424244385477,0.0,0.0,0.3744334526064688,,0.00017189459677984122,0.0
2020-03-06,Netherlands,128,1,46,1,1,2020,3,6,4,0,1,0.0078125,127.0,inf,18.142857142857142,0.14285714285714285,2.960194934663603e-05,6.756254602698448e-06,0.0005954307164584816,0.0002572678157962439,0.0078125,0.5855048060057532,,0.0002695137505066646,6.383657835939994e-05
2020-03-07,Netherlands,188,1,60,0,1,2020,3,7,5,1,1,0.005319148936170213,30.333333333333332,inf,26.0,0.14285714285714285,4.35871222663066e-05,6.756254602698448e-06,0.0007766487605980196,0.0,0.005319148936170213,0.14194906335508314,,0.0003862323038756926,6.383657835939994e-05
2020-03-08,Netherlands,265,3,77,2,1,2020,3,8,6,1,1,0.011320754716981131,25.5,inf,36.42857142857143,0.42857142857142855,6.153476084655049e-05,2.0268763808095344e-05,0.0009966992427674585,0.0005145356315924878,0.011320754716981131,0.11977127622254964,,0.0005411496565291298,0.0001915097350781998
2020-03-09,Netherlands,321,3,56,0,1,2020,3,9,0,0,1,0.009345794392523364,16.833333333333332,inf,43.285714285714285,0.42857142857142855,7.458758890490968e-05,2.0268763808095344e-05,0.0007248721765581516,0.0,0.009345794392523364,0.08000420964007578,,0.0006430131212875542,0.0001915097350781998
2020-03-10,Netherlands,382,4,61,1,1,2020,3,10,1,0,1,0.010471204188481676,14.916666666666666,inf,51.142857142857146,0.5714285714285714,8.880584803990809e-05,2.7025018410793794e-05,0.0007895929066079866,0.0002572678157962439,0.010471204188481676,0.07120956991510559,,0.0007597316746565823,0.00025534631343759976
2020-03-11,Netherlands,503,5,121,1,1,2020,3,11,2,0,1,0.009940357852882704,12.236842105263158,inf,66.42857142857143,0.7142857142857143,0.00011700928009457707,3.378127301349224e-05,0.001566241667206006,0.0002572678157962439,0.009940357852882704,0.0589131743271038,,0.0009868023148472368,0.00031918289179699974
2020-03-12,Netherlands,503,5,0,0,1,2020,3,12,3,0,1,0.009940357852882704,5.134146341463414,inf,60.142857142857146,0.7142857142857143,0.00011700928009457707,3.378127301349224e-05,0.0,0.0,0.009940357852882704,0.026322400247786946,,0.0008934274721520143,0.00031918289179699974
2020-03-13,Netherlands,806,10,303,5,1,2020,3,13,4,0,1,0.01240694789081886,5.296875,9.0,96.85714285714286,1.2857142857142858,0.00018763440333891343,6.756254602698448e-05,0.003922076241019999,0.0012863390789812194,0.01240694789081886,0.02706908194766014,0.0,0.001438821439712745,0.0005745292052345996
