date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-26,North Macedonia,1,0,1,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,North Macedonia,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-28,North Macedonia,1,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-29,North Macedonia,1,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-03-01,North Macedonia,1,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2.9710177221207125e-06,0.0
2020-03-02,North Macedonia,1,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,2.47584810176726e-06,0.0
2020-03-03,North Macedonia,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,2.1221555158005087e-06,0.0
2020-03-04,North Macedonia,1,0,0,0,1,2020,3,4,2,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-05,North Macedonia,1,0,0,0,1,2020,3,5,3,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-06,North Macedonia,3,0,2,0,1,2020,3,6,4,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-07,North Macedonia,3,0,0,0,1,2020,3,7,5,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-08,North Macedonia,3,0,0,0,1,2020,3,8,6,1,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-09,North Macedonia,3,0,0,0,1,2020,3,9,0,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-10,North Macedonia,7,0,4,0,1,2020,3,10,1,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,5.177658403986797e-05,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-11,North Macedonia,7,0,0,0,1,2020,3,11,2,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-12,North Macedonia,7,0,0,0,1,2020,3,12,3,0,1,0.0,6.0,,0.8571428571428571,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.03029537641198344,,1.2732933094803053e-05,0.0
2020-03-13,North Macedonia,14,0,7,0,1,2020,3,13,4,0,1,0.0,3.666666666666667,,1.5714285714285714,0.0,3.0301207992619557e-06,0.0,9.060902206976894e-05,0.0,0.0,0.01958885848593279,,2.3343710673805598e-05,0.0
2020-03-14,North Macedonia,14,0,0,0,1,2020,3,14,5,1,1,0.0,3.666666666666667,,1.5714285714285714,0.0,3.0301207992619557e-06,0.0,0.0,0.0,0.0,0.01958885848593279,,2.3343710673805598e-05,0.0
2020-03-15,North Macedonia,14,0,0,0,1,2020,3,15,6,1,1,0.0,3.666666666666667,,1.5714285714285714,0.0,3.0301207992619557e-06,0.0,0.0,0.0,0.0,0.01958885848593279,,2.3343710673805598e-05,0.0
2020-03-16,North Macedonia,18,0,4,0,1,2020,3,16,0,0,1,0.0,5.0,,2.142857142857143,0.0,3.962465660573327e-06,0.0,5.177658403986797e-05,0.0,0.0,0.025706868729390302,,3.1832332737007634e-05,0.0
2020-03-17,North Macedonia,26,0,8,0,1,2020,3,17,1,0,1,0.0,2.7142857142857144,,2.7142857142857144,0.0,5.827155383196069e-06,0.0,0.00010355316807973594,0.0,0.0,0.015218851169177417,,4.0320954800209674e-05,0.0
