date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-26,Norway,1,0,1,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Norway,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-28,Norway,6,0,5,0,1,2020,2,28,4,0,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,6.472073004983496e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-02-29,Norway,15,0,9,0,1,2020,2,29,5,1,1,0.0,,,3.75,0.0,3.2632070145897985e-06,0.0,0.00011649731408970293,0.0,0.0,,,5.570658228976336e-05,0.0
2020-03-01,Norway,19,0,4,0,1,2020,3,1,6,1,1,0.0,,,3.8,0.0,4.1955518759011695e-06,0.0,5.177658403986797e-05,0.0,0.0,,,5.6449336720293535e-05,0.0
2020-03-02,Norway,25,0,6,0,1,2020,3,2,0,0,1,0.0,,,4.166666666666667,0.0,5.594069167868226e-06,0.0,7.766487605980195e-05,0.0,0.0,,,6.189620254418152e-05,0.0
2020-03-03,Norway,32,0,7,0,1,2020,3,3,1,0,1,0.0,,,4.571428571428571,0.0,7.225672675163125e-06,0.0,9.060902206976894e-05,0.0,0.0,,,6.790897650561628e-05,0.0
2020-03-04,Norway,56,0,24,0,1,2020,3,4,2,0,1,0.0,55.0,,7.857142857142857,0.0,1.2819741843031351e-05,0.0,0.0003106595042392078,0.0,0.0,0.2551322528590472,,0.00011671855336902798,0.0
2020-03-05,Norway,87,0,31,0,1,2020,3,5,3,0,1,0.0,86.0,,12.285714285714286,0.0,2.0045414518194477e-05,0.0,0.00040126852630897674,0.0,0.0,0.3973759910194345,,0.00018250537435884377,0.0
2020-03-06,Norway,108,0,21,0,1,2020,3,6,4,0,1,0.0,17.0,,14.571428571428571,0.0,2.4940225040079174e-05,0.0,0.00027182706620930685,0.0,0.0,0.08076896092050798,,0.0002164598626116519,0.0
2020-03-07,Norway,147,0,39,0,1,2020,3,7,5,1,1,0.0,8.8,,18.857142857142858,0.0,3.403058743786504e-05,0.0,0.0005048216943887127,0.0,0.0,0.04314319792324423,,0.0002801245280856672,0.0
2020-03-08,Norway,176,0,29,0,1,2020,3,8,6,1,1,0.0,8.263157894736842,,22.428571428571427,0.0,4.079008768237248e-05,0.0,0.0003753802342890428,0.0,0.0,0.04067989379890476,,0.00033317841598067986,0.0
2020-03-09,Norway,205,0,29,0,1,2020,3,9,0,0,1,0.0,7.199999999999999,,25.714285714285715,0.0,4.7549587926879925e-05,0.0,0.0003753802342890428,0.0,0.0,0.0358015856310952,,0.00038198799284409164,0.0
2020-03-10,Norway,400,0,195,0,1,2020,3,10,1,0,1,0.0,11.5,,52.57142857142857,0.0,9.300139991580926e-05,0.0,0.0025241084719435634,0.0,0.0,0.055532168666245704,,0.0007809532298145872,0.0
2020-03-11,Norway,598,0,198,0,1,2020,3,11,2,0,1,0.0,9.678571428571429,,77.42857142857143,0.0,0.00013915247055072214,0.0,0.0025629409099734643,0.0,0.0,0.047174529672951056,,0.001150208289563876,0.0
