date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-24,Oman,2,0,2,0,1,2020,2,24,0,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-02-25,Oman,2,0,0,0,1,2020,2,25,1,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-26,Oman,4,0,2,0,1,2020,2,26,2,0,1,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-02-27,Oman,4,0,0,0,1,2020,2,27,3,0,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-28,Oman,4,0,0,0,1,2020,2,28,4,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-02-29,Oman,6,0,2,0,1,2020,2,29,5,1,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-01,Oman,6,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-03-02,Oman,6,0,0,0,1,2020,3,2,0,0,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-03,Oman,12,0,6,0,1,2020,3,3,1,0,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,7.766487605980195e-05,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-03-04,Oman,15,0,3,0,1,2020,3,4,2,0,1,0.0,2.75,,1.5714285714285714,0.0,3.2632070145897985e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.015382726443555744,,2.3343710673805598e-05,0.0
2020-03-05,Oman,16,0,1,0,1,2020,3,5,3,0,1,0.0,3.0,,1.7142857142857142,0.0,3.4962932299176414e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,2.5465866189606106e-05,0.0
2020-03-06,Oman,16,0,0,0,1,2020,3,6,4,0,1,0.0,3.0,,1.7142857142857142,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.01652985336420403,,2.5465866189606106e-05,0.0
2020-03-07,Oman,16,0,0,0,1,2020,3,7,5,1,1,0.0,1.6666666666666665,,1.4285714285714286,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,2.122155515800509e-05,0.0
2020-03-08,Oman,16,0,0,0,1,2020,3,8,6,1,1,0.0,1.6666666666666665,,1.4285714285714286,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,2.122155515800509e-05,0.0
2020-03-09,Oman,16,0,0,0,1,2020,3,9,0,0,1,0.0,1.6666666666666665,,1.4285714285714286,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,2.122155515800509e-05,0.0
2020-03-10,Oman,18,0,2,0,1,2020,3,10,1,0,1,0.0,0.5,,0.8571428571428571,0.0,3.962465660573327e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.005058584157721181,,1.2732933094803053e-05,0.0
2020-03-11,Oman,18,0,0,0,1,2020,3,11,2,0,1,0.0,0.19999999999999996,,0.42857142857142855,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.00368203185294324,,6.3664665474015265e-06,0.0
2020-03-12,Oman,18,0,0,0,1,2020,3,12,3,0,1,0.0,0.125,,0.2857142857142857,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.003337893776748755,,4.244311031601017e-06,0.0
2020-03-13,Oman,19,0,1,0,1,2020,3,13,4,0,1,0.0,0.1875,,0.42857142857142855,0.0,4.1955518759011695e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0036246755069108258,,6.3664665474015265e-06,0.0
2020-03-14,Oman,19,0,0,0,1,2020,3,14,5,1,1,0.0,0.1875,,0.42857142857142855,0.0,4.1955518759011695e-06,0.0,0.0,0.0,0.0,0.0036246755069108258,,6.3664665474015265e-06,0.0
2020-03-15,Oman,22,0,3,0,1,2020,3,15,6,1,1,0.0,0.375,,0.8571428571428571,0.0,4.894810521884698e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.00448502069739704,,1.2732933094803053e-05,0.0
2020-03-16,Oman,22,0,0,0,1,2020,3,16,0,0,1,0.0,0.375,,0.8571428571428571,0.0,4.894810521884698e-06,0.0,0.0,0.0,0.0,0.00448502069739704,,1.2732933094803053e-05,0.0
2020-03-17,Oman,24,0,2,0,1,2020,3,17,1,0,1,0.0,0.33333333333333326,,0.8571428571428571,0.0,5.360982952540383e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.0042938328772889915,,1.2732933094803053e-05,0.0
2020-03-18,Oman,39,0,15,0,1,2020,3,18,2,0,1,0.0,1.1666666666666665,,3.0,0.0,8.857276182458024e-06,0.0,0.0001941621901495049,0.0,0.0,0.00811758927944994,,4.4565265831810684e-05,0.0
2020-03-19,Oman,48,0,9,0,1,2020,3,19,3,0,1,0.0,1.6666666666666665,,4.285714285714286,0.0,1.095505212040861e-05,0.0,0.00011649731408970293,0.0,0.0,0.010411843120746509,,6.366466547401527e-05,0.0
2020-03-20,Oman,48,0,0,0,1,2020,3,20,4,0,1,0.0,1.526315789473684,,4.142857142857143,0.0,1.095505212040861e-05,0.0,0.0,0.0,0.0,0.009767842042487823,,6.154250995821476e-05,0.0
2020-03-21,Oman,52,0,4,0,1,2020,3,21,5,1,1,0.0,1.736842105263158,,4.714285714285714,0.0,1.1887396981719981e-05,0.0,5.177658403986797e-05,0.0,0.0,0.010733843659875853,,7.00311320214168e-05,0.0
2020-03-22,Oman,55,0,3,0,1,2020,3,22,6,1,1,0.0,1.5,,4.714285714285714,0.0,1.258665562770351e-05,0.0,3.8832438029900976e-05,0.0,0.0,0.00964709184031432,,7.00311320214168e-05,0.0
2020-03-23,Oman,66,0,11,0,1,2020,3,23,0,0,1,0.0,2.0,,6.285714285714286,0.0,1.5150603996309779e-05,0.0,0.00014238560610963693,0.0,0.0,0.01194134568161089,,9.337484269522239e-05,0.0
2020-03-24,Oman,84,0,18,0,1,2020,3,24,1,0,1,0.0,2.5,,8.571428571428571,0.0,1.934615587221095e-05,0.0,0.00023299462817940586,0.0,0.0,0.014235599522907458,,0.00012732933094803054,0.0
2020-03-25,Oman,99,0,15,0,1,2020,3,25,2,0,1,0.0,1.5384615384615383,,8.571428571428571,0.0,2.284244910212859e-05,0.0,0.0001941621901495049,0.0,0.0,0.00982357290502944,,0.00012732933094803054,0.0
2020-03-26,Oman,109,0,10,0,1,2020,3,26,3,0,1,0.0,1.2708333333333335,,8.714285714285714,0.0,2.517331125540702e-05,0.0,0.00012944146009966992,0.0,0.0,0.00859555882972006,,0.00012945148646383104,0.0
2020-03-27,Oman,131,0,22,0,1,2020,3,27,4,0,1,0.0,1.7291666666666665,,11.857142857142858,0.0,3.0301207992619557e-05,0.0,0.00028477121221927385,0.0,0.0,0.01069862485090858,,0.00017613890781144226,0.0
2020-03-28,Oman,152,0,21,0,1,2020,3,28,5,1,1,0.0,1.923076923076923,,14.285714285714286,0.0,3.5196018514504254e-05,0.0,0.00027182706620930685,0.0,0.0,0.011588383552180647,,0.0002122155515800509,0.0
2020-03-29,Oman,167,0,15,0,1,2020,3,29,6,1,1,0.0,2.036363636363636,,16.0,0.0,3.86923117444219e-05,0.0,0.0001941621901495049,0.0,0.0,0.012108200506432456,,0.000237681417769657,0.0
2020-03-30,Oman,179,0,12,0,1,2020,3,30,0,0,1,0.0,1.712121212121212,,16.142857142857142,0.0,4.148934632835601e-05,0.0,0.0001553297521196039,0.0,0.0,0.01062041165177347,,0.00023980357328545748,0.0
2020-03-31,Oman,192,1,13,1,1,2020,3,31,1,0,1,0.005208333333333333,1.2857142857142856,inf,15.428571428571429,0.14285714285714285,4.4519467127617964e-05,6.756254602698448e-06,0.0001682738981295709,0.0002572678157962439,0.005208333333333333,0.008663840194044361,,0.00022919279570645496,6.383657835939994e-05
2020-04-01,Oman,210,1,18,0,1,2020,4,1,2,0,2,0.004761904761904762,1.121212121212121,inf,15.857142857142858,0.14285714285714285,4.871501900351913e-05,6.756254602698448e-06,0.00023299462817940586,0.0,0.004761904761904762,0.007909020748422979,,0.0002355592622538565,6.383657835939994e-05
2020-04-02,Oman,231,1,21,0,1,2020,4,2,3,0,2,0.004329004329004329,1.1192660550458715,inf,17.428571428571427,0.14285714285714285,5.360982952540383e-05,6.756254602698448e-06,0.00027182706620930685,0.0,0.004329004329004329,0.007900091208868308,,0.0002589029729276621,6.383657835939994e-05
2020-04-03,Oman,252,1,21,0,1,2020,4,3,4,0,2,0.003968253968253968,0.9236641221374047,inf,17.285714285714285,0.14285714285714285,5.850464004728853e-05,6.756254602698448e-06,0.00027182706620930685,0.0,0.003968253968253968,0.007002570236987741,,0.0002567808174118616,6.383657835939994e-05
2020-04-04,Oman,277,2,25,1,1,2020,4,4,5,1,2,0.007220216606498195,0.8223684210526316,inf,17.857142857142858,0.2857142857142857,6.43317954304846e-05,1.3512509205396897e-05,0.0003236036502491748,0.0002572678157962439,0.007220216606498195,0.006537774134346601,,0.0002652694394750636,0.00012767315671879988
2020-04-05,Oman,298,2,21,0,1,2020,4,5,6,1,2,0.006711409395973154,0.784431137724551,inf,18.714285714285715,0.2857142857142857,6.92266059523693e-05,1.3512509205396897e-05,0.00027182706620930685,0.0,0.006711409395973154,0.006363698618338991,,0.0002780023725698667,0.00012767315671879988
2020-04-06,Oman,331,2,33,0,1,2020,4,6,0,0,2,0.006042296072507553,0.8491620111731844,inf,21.714285714285715,0.2857142857142857,7.691845105818811e-05,1.3512509205396897e-05,0.00042715681832891075,0.0,0.006042296072507553,0.006660716728459009,,0.0003225676384016774,0.00012767315671879988
2020-04-07,Oman,371,2,40,0,1,2020,4,7,1,0,2,0.005390835579514825,0.9322916666666667,1.0,25.571428571428573,0.14285714285714285,8.624189967130182e-05,1.3512509205396897e-05,0.0005177658403986797,0.0,0.005390835579514825,0.007042157791342174,0.0,0.00037986583732829113,6.383657835939994e-05
2020-04-08,Oman,419,2,48,0,1,2020,4,8,2,0,2,0.00477326968973747,0.9952380952380953,1.0,29.857142857142858,0.14285714285714285,9.743003800703827e-05,1.3512509205396897e-05,0.0006213190084784156,0.0,0.00477326968973747,0.007330987962433974,0.0,0.0004435305028023064,6.383657835939994e-05
2020-04-09,Oman,457,3,38,1,1,2020,4,9,3,0,2,0.006564551422319475,0.9783549783549783,2.0,32.285714285714285,0.2857142857142857,0.0001062873141894963,2.0268763808095344e-05,0.0004918775483787457,0.0002572678157962439,0.006564551422319475,0.007253519650909674,0.0,0.00047960714657091497,0.00012767315671879988
2020-04-10,Oman,484,3,27,0,1,2020,4,10,4,0,2,0.006198347107438017,0.9206349206349207,2.0,33.142857142857146,0.2857142857142857,0.00011258064200334805,2.0268763808095344e-05,0.0003494919422691088,0.0,0.006198347107438017,0.00698867072262147,0.0,0.0004923400796657181,0.00012767315671879988
2020-04-11,Oman,546,3,62,0,1,2020,4,11,5,1,2,0.005494505494505495,0.9711191335740073,0.5,38.42857142857143,0.14285714285714285,0.0001270319873536743,2.0268763808095344e-05,0.0008025370526179535,0.0,0.005494505494505495,0.007220317921542137,0.0,0.000570859833750337,6.383657835939994e-05
2020-04-12,Oman,599,4,53,1,1,2020,4,12,6,1,2,0.00667779632721202,1.0100671140939599,1.0,43.0,0.2857142857142857,0.00013938555676604997,2.7025018410793794e-05,0.0006860397385282506,0.0002572678157962439,0.00667779632721202,0.007399031029379427,0.0,0.0006387688102559532,0.00012767315671879988
2020-04-13,Oman,727,4,128,0,1,2020,4,13,0,0,2,0.005502063273727648,1.1963746223564953,1.0,56.57142857142857,0.2857142857142857,0.00016922059232801385,2.7025018410793794e-05,0.001656850689275775,0.0,0.005502063273727648,0.008253904462366856,0.0,0.0008403735842570014,0.00012767315671879988
2020-04-14,Oman,813,4,86,0,1,2020,4,14,1,0,2,0.004920049200492005,1.1913746630727764,1.0,63.142857142857146,0.2857142857142857,0.0001892660068462083,2.7025018410793794e-05,0.0011131965568571614,0.0,0.004920049200492005,0.008230962110780858,0.0,0.000937992737983825,0.00012767315671879988
