date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-25,Pakistan,2,0,2,0,1,2020,2,25,1,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-02-26,Pakistan,2,0,0,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Pakistan,2,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-02-28,Pakistan,4,0,2,0,1,2020,2,28,4,0,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-29,Pakistan,4,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-03-01,Pakistan,4,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.6666666666666666,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-02,Pakistan,5,0,1,0,1,2020,3,2,0,0,1,0.0,,,0.7142857142857143,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.0610777579002545e-05,0.0
2020-03-03,Pakistan,5,0,0,0,1,2020,3,3,1,0,1,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-03-04,Pakistan,5,0,0,0,1,2020,3,4,2,0,1,0.0,1.5,,0.42857142857142855,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.00964709184031432,,6.3664665474015265e-06,0.0
2020-03-05,Pakistan,6,0,1,0,1,2020,3,5,3,0,1,0.0,2.0,,0.5714285714285714,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01194134568161089,,8.488622063202035e-06,0.0
2020-03-06,Pakistan,6,0,0,0,1,2020,3,6,4,0,1,0.0,0.5,,0.2857142857142857,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,4.244311031601017e-06,0.0
2020-03-07,Pakistan,6,0,0,0,1,2020,3,7,5,1,1,0.0,0.5,,0.2857142857142857,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,4.244311031601017e-06,0.0
2020-03-08,Pakistan,6,0,0,0,1,2020,3,8,6,1,1,0.0,0.5,,0.2857142857142857,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.005058584157721181,,4.244311031601017e-06,0.0
2020-03-09,Pakistan,16,0,10,0,1,2020,3,9,0,0,1,0.0,2.2,,1.5714285714285714,0.0,3.4962932299176414e-06,0.0,0.00012944146009966992,0.0,0.0,0.012859047218129518,,2.3343710673805598e-05,0.0
2020-03-10,Pakistan,19,0,3,0,1,2020,3,10,1,0,1,0.0,2.8,,2.0,0.0,4.1955518759011695e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.015612151827685399,,2.9710177221207126e-05,0.0
2020-03-11,Pakistan,20,0,1,0,1,2020,3,11,2,0,1,0.0,3.0,,2.142857142857143,0.0,4.428638091229012e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,3.1832332737007634e-05,0.0
2020-03-12,Pakistan,28,0,8,0,1,2020,3,12,3,0,1,0.0,3.666666666666667,,3.142857142857143,0.0,6.293327813851755e-06,0.0,0.00010355316807973594,0.0,0.0,0.01958885848593279,,4.6687421347611195e-05,0.0
2020-03-13,Pakistan,31,0,3,0,1,2020,3,13,4,0,1,0.0,4.166666666666667,,3.5714285714285716,0.0,6.992586459835283e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.021883112327229358,,5.3053887895012723e-05,0.0
2020-03-14,Pakistan,53,0,22,0,1,2020,3,14,5,1,1,0.0,7.833333333333334,,6.714285714285714,0.0,1.2120483197047823e-05,0.0,0.00028477121221927385,0.0,0.0,0.03870764049673753,,9.974130924262392e-05,0.0
2020-03-15,Pakistan,136,0,83,0,1,2020,3,15,6,1,1,0.0,21.666666666666668,,18.571428571428573,0.0,3.1466639069258775e-05,0.0,0.0010743641188272603,0.0,0.0,0.1021819967726093,,0.0002758802170540662,0.0
2020-03-16,Pakistan,236,0,100,0,1,2020,3,16,0,0,1,0.0,13.75,,31.428571428571427,0.0,5.477526060204305e-05,0.0,0.0012944146009966993,0.0,0.0,0.06585631095208026,,0.00046687421347611194,0.0
2020-03-17,Pakistan,299,0,63,0,1,2020,3,17,1,0,1,0.0,14.736842105263158,,40.0,0.0,6.945969216769714e-05,0.0,0.0008154811986279205,0.0,0.0,0.07038444353358665,,0.0005942035444241424,0.0
2020-03-18,Pakistan,454,2,155,2,1,2020,3,18,2,0,1,0.004405286343612335,21.7,inf,62.0,0.2857142857142857,0.00010558805554351276,1.3512509205396897e-05,0.002006342631544884,0.0005145356315924878,0.004405286343612335,0.10233494702869572,,0.0009210154938574208,0.00012767315671879988
2020-03-19,Pakistan,501,3,47,1,1,2020,3,19,3,0,1,0.005988023952095809,16.892857142857142,inf,67.57142857142857,0.42857142857142855,0.00011654310766392138,2.0268763808095344e-05,0.0006083748624684486,0.0002572678157962439,0.005988023952095809,0.08027733509737299,,0.0010037795589736406,0.0001915097350781998
