date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-10,Panama,1,0,1,0,1,2020,3,10,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-11,Panama,8,1,7,1,1,2020,3,11,2,0,1,0.125,,,4.0,0.5,1.6316035072948993e-06,6.756254602698448e-06,9.060902206976894e-05,0.0002572678157962439,0.125,,,5.942035444241425e-05,0.0002234280242578998
2020-03-12,Panama,11,1,3,0,1,2020,3,12,3,0,1,0.09090909090909091,,,3.6666666666666665,0.3333333333333333,2.3308621532784276e-06,6.756254602698448e-06,3.8832438029900976e-05,0.0,0.09090909090909091,,,5.4468658238879724e-05,0.0001489520161719332
2020-03-13,Panama,27,1,16,0,1,2020,3,13,4,0,1,0.037037037037037035,,,6.75,0.25,6.060241598523911e-06,6.756254602698448e-06,0.00020710633615947187,0.0,0.037037037037037035,,,0.00010027184812157405,0.0001117140121289499
2020-03-14,Panama,36,1,9,0,1,2020,3,14,5,1,1,0.027777777777777776,,,7.2,0.2,8.158017536474496e-06,6.756254602698448e-06,0.00011649731408970293,0.0,0.027777777777777776,,,0.00010695663799634565,8.937120970315993e-05
2020-03-15,Panama,43,1,7,0,1,2020,3,15,6,1,1,0.023255813953488372,,,7.166666666666667,0.16666666666666666,9.789621043769395e-06,6.756254602698448e-06,9.060902206976894e-05,0.0,0.023255813953488372,,,0.0001064614683759922,7.44760080859666e-05
2020-03-16,Panama,55,1,12,0,1,2020,3,16,0,0,1,0.01818181818181818,,,7.857142857142857,0.14285714285714285,1.258665562770351e-05,6.756254602698448e-06,0.0001553297521196039,0.0,0.01818181818181818,,,0.00011671855336902798,6.383657835939994e-05
2020-03-17,Panama,69,1,14,0,1,2020,3,17,1,0,1,0.014492753623188406,68.0,inf,9.714285714285714,0.14285714285714285,1.584986264229331e-05,6.756254602698448e-06,0.0001812180441395379,0.0,0.014492753623188406,0.314782852732758,,0.0001443065750744346,6.383657835939994e-05
2020-03-18,Panama,86,1,17,0,1,2020,3,18,2,0,1,0.011627906976744186,9.75,0.0,11.142857142857142,0.0,1.9812328302866635e-05,6.756254602698448e-06,0.00022005048216943888,0.0,0.011627906976744186,0.04750228022170771,0.0,0.00016552813023243968,0.0
2020-03-19,Panama,109,1,23,0,1,2020,3,19,3,0,1,0.009174311926605505,8.909090909090908,0.0,14.0,0.0,2.517331125540702e-05,6.756254602698448e-06,0.0002977153582292408,0.0,0.009174311926605505,0.04364376239770893,0.0,0.00020797124054844988,0.0
2020-03-20,Panama,137,1,28,0,1,2020,3,20,4,0,1,0.0072992700729927005,4.074074074074074,0.0,15.714285714285714,0.0,3.169972528458662e-05,6.756254602698448e-06,0.0003624360882790758,0.0,0.0072992700729927005,0.02145825050476703,0.0,0.00023343710673805597,0.0
2020-03-21,Panama,200,1,63,0,1,2020,3,21,5,1,1,0.005,4.555555555555555,0.0,23.428571428571427,0.0,4.638415685024071e-05,6.756254602698448e-06,0.0008154811986279205,0.0,0.005,0.02366753198157113,0.0,0.00034803350459128345,0.0
2020-03-22,Panama,313,3,113,2,1,2020,3,22,6,1,1,0.009584664536741214,6.27906976744186,2.0,38.57142857142857,0.2857142857142857,7.272289918228694e-05,2.0268763808095344e-05,0.0014626884991262702,0.0005145356315924878,0.009584664536741214,0.0315758901838699,0.0,0.0005729819892661374,0.00012767315671879988
2020-03-23,Panama,345,6,32,3,1,2020,3,23,0,0,1,0.017391304347826087,5.2727272727272725,5.0,41.42857142857143,0.7142857142857143,8.018165807277791e-05,4.053752761619069e-05,0.00041421267231894375,0.0007718034473887317,0.017391304347826087,0.02695827991555207,0.0,0.0006154250995821476,0.00031918289179699974
2020-03-24,Panama,345,6,0,0,1,2020,3,24,1,0,1,0.017391304347826087,4.0,5.0,39.42857142857143,0.7142857142857143,8.018165807277791e-05,4.053752761619069e-05,0.0,0.0,0.017391304347826087,0.021118361046797166,0.0,0.0005857149223609405,0.00031918289179699974
2020-03-25,Panama,443,8,98,2,1,2020,3,25,2,0,1,0.01805869074492099,4.151162790697675,7.0,51.0,1.0,0.0001030241071749065,5.405003682158759e-05,0.0012685263089767653,0.0005145356315924878,0.01805869074492099,0.021811972673235668,0.0,0.0007576095191407817,0.0004468560485157996
2020-03-26,Panama,558,8,115,0,1,2020,3,26,3,0,1,0.014336917562724014,4.1192660550458715,7.0,64.14285714285714,1.0,0.00012982902193760842,5.405003682158759e-05,0.001488576791146204,0.0,0.014336917562724014,0.02166561425664772,0.0,0.0009528478265944285,0.0004468560485157996
2020-03-27,Panama,674,9,116,1,1,2020,3,27,4,0,1,0.013353115727002967,3.9197080291970803,8.0,76.71428571428571,1.1428571428571428,0.00015686702291563818,6.080629142428603e-05,0.0015015209371561711,0.0002572678157962439,0.013353115727002967,0.020749940721917423,0.0,0.0011395975119848731,0.0005106926268751995
2020-03-28,Panama,786,14,112,5,1,2020,3,28,5,1,1,0.017811704834605598,2.93,13.0,83.71428571428571,1.8571428571428572,0.00018297267903235657,9.458756443777828e-05,0.0014497443531163031,0.0012863390789812194,0.017811704834605598,0.016208657826422508,0.0,0.0012435831322590981,0.0008298755186721993
2020-03-29,Panama,901,17,115,3,1,2020,3,29,6,1,1,0.018867924528301886,1.878594249201278,4.666666666666667,84.0,2.0,0.00020977759379505847,0.00011485632824587362,0.001488576791146204,0.0007718034473887317,0.018867924528301886,0.011384274461359966,0.0,0.0012478274432906993,0.0008937120970315992
2020-03-30,Panama,989,24,88,7,1,2020,3,30,0,0,1,0.024266936299292215,1.8666666666666667,3.0,92.0,2.5714285714285716,0.00023028918074390864,0.00016215011046476276,0.0011390848488770954,0.0018008747105737071,0.024266936299292215,0.011329544657265137,0.0,0.0013666681521755277,0.001149058410469199
2020-03-31,Panama,1181,30,192,6,1,2020,3,31,1,0,1,0.02540220152413209,2.4231884057971014,4.0,119.42857142857143,3.4285714285714284,0.00027504173408685447,0.00020268763808095345,0.0024852760339136625,0.0015436068947774634,0.02540220152413209,0.013883148932795231,0.0,0.0017741220112092255,0.0015320778806255984
2020-04-01,Panama,1181,30,0,0,1,2020,4,1,2,0,2,0.02540220152413209,1.6659142212189617,2.75,105.42857142857143,3.142857142857143,0.00027504173408685447,0.00020268763808095345,0.0,0.0,0.02540220152413209,0.010408390519028983,0.0,0.0015661507706607755,0.0014044047239067986
2020-04-02,Panama,1317,32,136,2,1,2020,4,2,3,0,2,0.024297646165527716,1.360215053763441,3.0,108.42857142857143,3.4285714285714284,0.0003067414593714411,0.00021620014728635035,0.001760403857355511,0.0005145356315924878,0.024297646165527716,0.009005687540597,0.0,0.0016107160364925862,0.0015320778806255984
