date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-08,Paraguay,1,0,1,0,1,2020,3,8,6,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-09,Paraguay,1,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-10,Paraguay,1,0,0,0,1,2020,3,10,1,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-11,Paraguay,5,0,4,0,1,2020,3,11,2,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-12,Paraguay,5,0,0,0,1,2020,3,12,3,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-13,Paraguay,6,0,1,0,1,2020,3,13,4,0,1,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-14,Paraguay,6,0,0,0,1,2020,3,14,5,1,1,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-03-15,Paraguay,6,0,0,0,1,2020,3,15,6,1,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-16,Paraguay,8,0,2,0,1,2020,3,16,0,0,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-17,Paraguay,9,0,1,0,1,2020,3,17,1,0,1,0.0,8.0,,1.1428571428571428,0.0,1.8646897226227421e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.03947239177716972,,1.697724412640407e-05,0.0
