date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-06,Peru,1,0,1,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Peru,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-08,Peru,6,0,5,0,1,2020,3,8,6,1,1,0.0,,,2.0,0.0,1.1654310766392138e-06,0.0,6.472073004983496e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-09,Peru,7,0,1,0,1,2020,3,9,0,0,1,0.0,,,1.75,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.5996405068556236e-05,0.0
2020-03-10,Peru,11,0,4,0,1,2020,3,10,1,0,1,0.0,,,2.2,0.0,2.3308621532784276e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.268119494332784e-05,0.0
2020-03-11,Peru,11,0,0,0,1,2020,3,11,2,0,1,0.0,,,1.8333333333333333,0.0,2.3308621532784276e-06,0.0,0.0,0.0,0.0,,,2.7234329119439862e-05,0.0
2020-03-12,Peru,15,0,4,0,1,2020,3,12,3,0,1,0.0,,,2.142857142857143,0.0,3.2632070145897985e-06,0.0,5.177658403986797e-05,0.0,0.0,,,3.1832332737007634e-05,0.0
2020-03-13,Peru,28,0,13,0,1,2020,3,13,4,0,1,0.0,27.0,,3.857142857142857,0.0,6.293327813851755e-06,0.0,0.0001682738981295709,0.0,0.0,0.12665403774643935,,5.729819892661374e-05,0.0
2020-03-14,Peru,38,0,10,0,1,2020,3,14,5,1,1,0.0,37.0,,5.285714285714286,0.0,8.624189967130182e-06,0.0,0.00012944146009966992,0.0,0.0,0.17253911457237073,,7.851975408461883e-05,0.0
2020-03-15,Peru,43,0,5,0,1,2020,3,15,6,1,1,0.0,6.166666666666667,,5.285714285714286,0.0,9.789621043769395e-06,0.0,6.472073004983496e-05,0.0,0.0,0.031060127692415635,,7.851975408461883e-05,0.0
2020-03-16,Peru,86,0,43,0,1,2020,3,16,0,0,1,0.0,11.285714285714286,,11.285714285714286,0.0,1.9812328302866635e-05,0.0,0.0005565982784285807,0.0,0.0,0.054548917019975746,,0.0001676502857482402,0.0
2020-03-17,Peru,117,0,31,0,1,2020,3,17,1,0,1,0.0,9.636363636363637,,15.142857142857142,0.0,2.7038000978029758e-05,0.0,0.00040126852630897674,0.0,0.0,0.04698085889414031,,0.00022494848467485392,0.0
2020-03-18,Peru,145,0,28,0,1,2020,3,18,2,0,1,0.0,12.181818181818182,,19.142857142857142,0.0,3.3564415007209356e-05,0.0,0.0003624360882790758,0.0,0.0,0.05866069663165011,,0.0002843688391172682,0.0
2020-03-19,Peru,234,0,89,0,1,2020,3,19,3,0,1,0.0,14.6,,31.285714285714285,0.0,5.4309088171387364e-05,0.0,0.0011520289948870623,0.0,0.0,0.06975654248228443,,0.00046475205796031143,0.0
2020-03-20,Peru,234,3,0,3,1,2020,3,20,4,0,1,0.01282051282051282,7.357142857142858,inf,29.428571428571427,0.42857142857142855,5.4309088171387364e-05,2.0268763808095344e-05,0.0,0.0007718034473887317,0.01282051282051282,0.036522636838359844,,0.0004371640362549048,0.0001915097350781998
2020-03-21,Peru,318,5,84,2,1,2020,3,21,5,1,1,0.015723270440251572,7.368421052631579,inf,40.0,0.7142857142857143,7.388833025892616e-05,3.378127301349224e-05,0.0010873082648372274,0.0005145356315924878,0.015723270440251572,0.03657438692500563,,0.0005942035444241424,0.00031918289179699974
2020-03-22,Peru,363,5,45,0,1,2020,3,22,6,1,1,0.013774104683195593,7.44186046511628,inf,45.714285714285715,0.7142857142857143,8.437720994867908e-05,3.378127301349224e-05,0.0005824865704485147,0.0,0.013774104683195593,0.036911364233396804,,0.0006790897650561629,0.00031918289179699974
2020-03-23,Peru,395,5,32,0,1,2020,3,23,0,0,1,0.012658227848101266,3.5930232558139537,inf,44.142857142857146,0.7142857142857143,9.183596883917004e-05,3.378127301349224e-05,0.00041421267231894375,0.0,0.012658227848101266,0.019250945129462748,,0.0006557460543823573,0.00031918289179699974
2020-03-24,Peru,416,7,21,2,1,2020,3,24,1,0,1,0.016826923076923076,2.5555555555555554,inf,42.714285714285715,1.0,9.673077936105474e-05,4.729378221888914e-05,0.00027182706620930685,0.0005145356315924878,0.016826923076923076,0.014490516616384855,,0.0006345244992243522,0.0004468560485157996
2020-03-25,Peru,480,9,64,2,1,2020,3,25,2,0,1,0.01875,2.310344827586207,inf,47.857142857142854,1.2857142857142858,0.00011164829714203668,6.080629142428603e-05,0.0008284253446378875,0.0005145356315924878,0.01875,0.013365365307243242,,0.0007109220977931705,0.0005745292052345996
2020-03-26,Peru,580,9,100,0,1,2020,3,26,3,0,1,0.015517241379310345,1.4786324786324787,inf,49.42857142857143,1.2857142857142858,0.00013495691867482096,6.080629142428603e-05,0.0012944146009966993,0.0,0.015517241379310345,0.009549046804361475,,0.0007342658084669761,0.0005745292052345996
2020-03-27,Peru,635,11,55,2,1,2020,3,27,4,0,1,0.01732283464566929,1.7136752136752138,2.6666666666666665,57.285714285714285,1.1428571428571428,0.00014777666051785232,7.431880062968293e-05,0.0007119280305481846,0.0005145356315924878,0.01732283464566929,0.01062754219984277,0.0,0.000850984361836004,0.0005106926268751995
2020-03-28,Peru,671,16,36,5,1,2020,3,28,5,1,1,0.02384500745156483,1.110062893081761,2.2,50.42857142857143,1.5714285714285714,0.00015616776426965464,0.00010810007364317517,0.0004659892563588117,0.0012863390789812194,0.02384500745156483,0.007857862429491838,0.0,0.0007491208970775797,0.0007022023619533993
2020-03-29,Peru,852,18,181,2,1,2020,3,29,6,1,1,0.02112676056338028,1.347107438016529,2.6,69.85714285714286,1.8571428571428572,0.0001983563692439942,0.00012161258284857206,0.0023428904278040255,0.0005145356315924878,0.02112676056338028,0.008945543145041816,0.0,0.0010377340472264489,0.0008298755186721993
2020-03-30,Peru,950,24,98,6,1,2020,3,30,0,0,1,0.02526315789473684,1.4050632911392404,3.8,79.28571428571429,2.7142857142857144,0.00022119881834612278,0.00016215011046476276,0.0012685263089767653,0.0015436068947774634,0.02526315789473684,0.009211474022346617,0.0,0.0011777963112692825,0.001212894988828599
2020-03-31,Peru,1065,30,115,6,1,2020,3,31,1,0,1,0.028169014084507043,1.5600961538461537,3.2857142857142856,92.71428571428571,3.2857142857142856,0.0002480037331088247,0.00020268763808095345,0.001488576791146204,0.0015436068947774634,0.028169014084507043,0.009922843503931696,0.0,0.00137727892975453,0.0014682413022661985
2020-04-01,Peru,1323,38,258,8,1,2020,4,1,2,0,2,0.02872260015117158,1.75625,3.2222222222222223,120.42857142857143,4.142857142857143,0.0003081399766634081,0.000256737674902541,0.003339589670571484,0.0020581425263699513,0.02872260015117158,0.010822896933978813,0.0,0.001788977099819829,0.0018512607724225985
2020-04-02,Peru,1414,55,91,17,1,2020,4,2,3,0,2,0.038896746817538894,1.4379310344827587,5.111111111111111,119.14285714285714,6.571428571428571,0.0003293508222582418,0.00037159400314841463,0.0011779172869069963,0.004373552868536146,0.038896746817538894,0.00936228791518785,0.0,0.0017698777001776244,0.002936482604532397
2020-04-03,Peru,1595,61,181,6,1,2020,4,3,4,0,2,0.03824451410658307,1.5118110236220472,4.545454545454546,137.14285714285714,7.142857142857143,0.00037153942723258134,0.0004121315307646053,0.0023428904278040255,0.0015436068947774634,0.03824451410658307,0.009701286812943372,0.0,0.0020372692951684886,0.003191828917969997
2020-04-04,Peru,1746,73,151,12,1,2020,4,4,5,1,2,0.0418098510882016,1.602086438152012,3.5625,153.57142857142858,8.142857142857142,0.0004067354457470856,0.0004932065859969867,0.001954566047505016,0.0030872137895549268,0.0418098510882016,0.010115516246063395,0.0,0.0022813171794855472,0.0036386849664857964
2020-04-05,Peru,2281,83,535,10,1,2020,4,5,6,1,2,0.03638754932047348,1.677230046948357,3.6111111111111107,204.14285714285714,9.285714285714286,0.0005314365709474815,0.0005607691320239712,0.006925118115332341,0.002572678157962439,0.03638754932047348,0.0104603132723232,0.0,0.003032560232078927,0.004149377593360997
2020-04-06,Peru,2561,92,280,9,1,2020,4,6,0,0,2,0.035923467395548615,1.6957894736842105,2.8333333333333335,230.14285714285714,9.714285714285714,0.0005967007112392775,0.0006215754234482572,0.0036243608827907577,0.002315410342166195,0.035923467395548615,0.010545473344485187,0.0,0.0034187925359546196,0.004340887328439196
2020-04-07,Peru,2954,107,393,15,1,2020,4,7,1,0,2,0.036222071767095465,1.7737089201877936,2.566666666666667,269.85714285714283,11.0,0.0006883035938631196,0.000722919242488734,0.005087049381917028,0.0038590172369436584,0.036222071767095465,0.010903007323390283,0.0,0.004008751769347161,0.004915416533673796
2020-04-08,Peru,4342,121,1388,14,1,2020,4,8,2,0,2,0.027867342238599723,2.2819349962207105,2.1842105263157894,431.2857142857143,11.857142857142858,0.0010118272607381653,0.0008175068069265122,0.017966474661834184,0.0036017494211474143,0.027867342238599723,0.013235006577761487,0.0,0.0064067875022017365,0.005298436003830195
2020-04-09,Peru,5256,138,914,17,1,2020,4,9,3,0,2,0.026255707762557076,2.717114568599717,1.5090909090909093,548.8571428571429,11.857142857142858,0.0012248680615478138,0.0009323631351723858,0.011830949453109831,0.004373552868536146,0.026255707762557076,0.015231831388930155,0.0,0.008153321491705556,0.005298436003830195
2020-04-10,Peru,5897,169,641,31,1,2020,4,10,4,0,2,0.02865863998643378,2.6971786833855798,1.7704918032786887,614.5714285714286,15.428571428571429,0.001374276325572961,0.0011418070278560377,0.008297197592388842,0.00797530228968356,0.02865863998643378,0.015140355426465791,0.0,0.00912951302897379,0.006894350462815194
2020-04-11,Peru,6848,181,951,12,1,2020,4,11,5,1,2,0.02643107476635514,2.922107674684994,1.4794520547945207,728.8571428571429,15.428571428571429,0.0015959413163497394,0.0012228820830884192,0.01230988285547861,0.0030872137895549268,0.02643107476635514,0.01617244383108108,0.0,0.010827237441614197,0.006894350462815194
2020-04-12,Peru,7519,193,671,12,1,2020,4,12,6,1,2,0.025668306955712195,2.2963612450679527,1.3253012048192772,748.2857142857143,15.714285714285714,0.0017523421668347219,0.0013039571383208005,0.008685521972687852,0.0030872137895549268,0.025668306955712195,0.013301201531428058,0.0,0.011115850591763066,0.007022023619533993
2020-04-13,Peru,9784,216,2265,23,1,2020,4,13,0,0,2,0.022076860179885527,2.820382663022257,1.347826086956522,1031.857142857143,17.714285714285715,0.002280282444552286,0.0014593509941828648,0.029318490712575238,0.005917159763313609,0.022076860179885527,0.015705677833554733,0.0,0.015328329290627076,0.007915735716565593
2020-04-14,Peru,10303,230,519,14,1,2020,4,14,1,0,2,0.022323595069397264,2.487813134732566,1.1495327102803738,1049.857142857143,17.571428571428573,0.002401254190307436,0.0015539385586206432,0.006718011779172869,0.0036017494211474143,0.022323595069397264,0.01417967999800111,0.0,0.01559572088561794,0.007851899138206194
2020-04-15,Peru,11475,254,1172,24,1,2020,4,15,2,0,2,0.02213507625272331,1.6427913403961307,1.0991735537190084,1019.0,19.0,0.0026744312346716676,0.0017160886690854057,0.015170539123681315,0.0061744275791098535,0.02213507625272331,0.010302291002729738,0.0,0.01513733529420503,0.008490264921800193
2020-04-16,Peru,12491,274,1016,20,1,2020,4,16,3,0,2,0.021935793771515492,1.3765220700152208,0.9855072463768115,1033.5714285714287,19.428571428571427,0.002911246829444756,0.0018512137611393748,0.013151252346126465,0.005145356315924878,0.021935793771515492,0.009080512409948463,0.0,0.015353795156816683,0.008681774656878392
2020-04-17,Peru,13489,300,998,26,1,2020,4,17,4,0,2,0.022240343983986954,1.2874342886213328,0.7751479289940828,1084.5714285714287,18.714285714285715,0.003143866872341943,0.0020268763808095345,0.012918257717947058,0.006688963210702341,0.022240343983986954,0.00867173244059743,0.0,0.016111404675957466,0.008362591765081393
2020-04-18,Peru,14420,348,931,48,1,2020,4,18,5,1,2,0.024133148404993063,1.1057242990654204,0.9226519337016574,1081.7142857142858,23.857142857142858,0.0033608701388121646,0.00235117660173906,0.01205099993527927,0.012348855158219707,0.024133148404993063,0.007837954757516207,0.0,0.016068961565641453,0.01066070858601979
2020-04-19,Peru,15628,400,1208,52,1,2020,4,19,6,1,2,0.025595085743537242,1.078467881367203,1.0725388601036268,1158.4285714285713,29.571428571428573,0.0036424382869281987,0.0027025018410793793,0.015636528380040128,0.013377926421404682,0.025595085743537242,0.007712888475507969,0.0,0.017208559077626324,0.013214171720395788
2020-04-20,Peru,16325,445,697,45,1,2020,4,20,0,0,2,0.027258805513016845,0.6685404742436631,1.0601851851851851,934.4285714285714,32.714285714285715,0.0038048993790117053,0.0030065332982008096,0.009022069768946994,0.011577051710830975,0.027258805513016845,0.005831933418616121,0.0,0.013881019228851129,0.014618576444302587
2020-04-21,Peru,17837,484,1512,39,1,2020,4,21,1,0,2,0.027134607837640858,0.7312433271862564,1.1043478260869564,1076.2857142857142,36.285714285714285,0.004157325736587403,0.003270027227706049,0.019571548767070093,0.010033444816053512,0.027134607837640858,0.006119645941063718,0.0,0.01598831965604103,0.016214490903287585
2020-04-22,Peru,19250,530,1413,46,1,2020,4,22,2,0,2,0.027532467532467533,0.6775599128540306,1.0866141732283463,1110.7142857142858,39.42857142857143,0.004486676558845645,0.0035808149394301776,0.01829007831208336,0.011834319526627219,0.027532467532467533,0.005873319181972469,0.0,0.016499759135348957,0.017618895627194386
2020-04-23,Peru,20914,572,1664,42,1,2020,4,23,3,0,2,0.027350100411207803,0.6743255143703466,1.0875912408759123,1203.2857142857142,42.57142857142857,0.004874532021151175,0.003864577632743512,0.021539058960585077,0.010805248263442244,0.027350100411207803,0.005858478119681518,0.0,0.017874915909587685,0.019023300351101183
2020-04-24,Peru,21648,634,734,62,1,2020,4,24,4,0,2,0.029286770140428676,0.6048632218844985,1.1133333333333333,1165.5714285714287,47.714285714285715,0.005045617303201812,0.004283465418110816,0.009501003171315773,0.01595060457936712,0.029286770140428676,0.005539749856959672,0.0,0.017314666853416354,0.02132141717203958
2020-04-25,Peru,25331,700,3683,66,1,2020,4,25,5,1,2,0.0276341241956496,0.7566574202496532,1.0114942528735633,1558.7142857142858,50.285714285714285,0.005904073834254257,0.004729378221888914,0.047673289754708435,0.016979675842552097,0.0276341241956496,0.006236258702331251,0.0,0.023154838832899354,0.022470475582508777
2020-04-26,Peru,27517,728,2186,28,1,2020,4,26,6,1,2,0.026456372424319512,0.7607499360122856,0.8200000000000001,1698.4285714285713,46.857142857142854,0.006413600300960921,0.00491855335076447,0.028295903177787844,0.0072034988422948285,0.026456372424319512,0.006255037242349223,0.0,0.025230306927352248,0.02093839770188318
2020-04-27,Peru,28699,782,1182,54,1,2020,4,27,0,0,2,0.027248336178960938,0.757978560490046,0.7573033707865169,1767.7142857142858,48.142857142857146,0.006689108207478431,0.005283391099310186,0.015299980583780985,0.01389246205299717,0.027248336178960938,0.006242320764474076,0.0,0.026259552352515498,0.021512926907117782
2020-04-28,Peru,31190,854,2491,72,1,2020,4,28,1,0,2,0.027380570695735813,0.7486124348264842,0.7644628099173554,1907.5714285714287,52.857142857142854,0.0072697259698600875,0.005769841430704475,0.03224386771082778,0.01852328273732956,0.027380570695735813,0.006199344224910691,0.0,0.028337142602484197,0.023619533992977976
2020-04-29,Peru,33931,943,2741,89,1,2020,4,29,2,0,2,0.027791694910259054,0.7626493506493506,0.7792452830188679,2097.285714285714,59.0,0.007908615286073705,0.006371148090344636,0.03547990421331953,0.022896835605865706,0.027791694910259054,0.006263752721003826,0.0,0.03115536512746727,0.026364506862432177
2020-04-30,Peru,36976,1051,3045,108,1,2020,4,30,3,0,2,0.02842384249242752,0.7680022951133212,0.8374125874125875,2294.5714285714284,68.42857142857143,0.008618362811746987,0.007100823587436069,0.03941492460034949,0.02778492410599434,0.02842384249242752,0.0062883147478012495,0.0,0.03408606189478777,0.030577721034152572
2020-05-01,Peru,40459,1124,3483,73,1,2020,5,1,4,0,2,0.0277812106082701,0.8689486326681448,0.7728706624605679,2687.285714285714,70.0,0.009430202099733862,0.007594030173433056,0.04508446055271503,0.018780550553125806,0.0277812106082701,0.006751507793201198,0.0,0.039919867407723374,0.03127992339610597
2020-05-02,Peru,42534,1200,2075,76,1,2020,5,2,5,1,2,0.028212723938496262,0.6791283407682287,0.7142857142857142,2457.5714285714284,71.42857142857143,0.009913855996539135,0.008107505523238138,0.02685910297068151,0.019552354000514537,0.028212723938496262,0.005880515925506361,0.0,0.036507441338316154,0.03191828917969997
2020-05-03,Peru,45928,1286,3394,86,1,2020,5,3,6,1,2,0.028000348371363875,0.669077297670531,0.7664835164835164,2630.1428571428573,79.71428571428571,0.010704950611361834,0.008688543419070204,0.04393243155782797,0.022125032158476974,0.028000348371363875,0.0058343966370345,0.0,0.03907100520140317,0.03562081072454516
2020-05-04,Peru,47372,1344,1444,58,1,2020,5,4,0,0,2,0.028371189732331336,0.6506498484267744,0.7186700767263428,2667.5714285714284,80.28571428571429,0.011041527106295239,0.009080406186026714,0.018691346838392336,0.014921533316182145,0.028371189732331336,0.005749842144608928,0.0,0.0396270099465429,0.03587615703798277
2020-05-05,Peru,51189,1444,3817,100,1,2020,5,5,1,0,2,0.028209185567211706,0.6411991022763706,0.6908665105386418,2857.0,84.28571428571429,0.011931217190201616,0.00975603164629656,0.04940780532004401,0.025726781579624387,0.028209185567211706,0.0057064773232915625,0.0,0.04244098816049438,0.03766358123204597
2020-05-06,Peru,54817,1533,3628,89,1,2020,5,6,2,0,2,0.02796577703996935,0.6155433084789721,0.6256627783669142,2983.714285714286,84.28571428571429,0.01277685397941103,0.010357338305936721,0.046961361724160246,0.022896835605865706,0.02796577703996935,0.005588755516349174,0.0,0.04432334010300943,0.03766358123204597
2020-05-07,Peru,58526,1627,3709,94,1,2020,5,7,3,0,2,0.027799610429552677,0.5828104716572913,0.5480494766888677,3078.5714285714284,82.28571428571429,0.013641370752061998,0.010992426238590374,0.04800983755096758,0.024183174684846924,0.027799610429552677,0.005438560643119824,0.0,0.04573245136550096,0.03676986913501437
2020-05-08,Peru,61847,1714,3321,87,1,2020,5,8,4,0,2,0.02771355118275745,0.5286339257025632,0.5249110320284698,3055.4285714285716,84.28571428571429,0.014415450073165763,0.01158022038902514,0.042987508899100385,0.02238229997427322,0.02771355118275745,0.005189971145790194,0.0,0.045388662171941284,0.03766358123204597
2020-05-09,Peru,65015,1814,3168,100,1,2020,5,9,5,1,2,0.02790125355687149,0.5285418723844453,0.5116666666666667,3211.5714285714284,87.71428571428571,0.01515386720332437,0.012255845849294985,0.04100705455957543,0.025726781579624387,0.02790125355687149,0.005189548758432801,0.0,0.04770817815071124,0.03919565911267156
2020-05-10,Peru,67307,1889,2292,75,1,2020,5,10,6,1,2,0.02806543153015288,0.46548946176624284,0.4688958009331259,3054.1428571428573,86.14285714285714,0.015688100808855784,0.012762564944497368,0.029667982654844348,0.019295086184718292,0.02806543153015288,0.004900232287905162,0.0,0.04536956277229908,0.038493456750718164
2020-05-11,Peru,68822,1961,1515,72,1,2020,5,11,0,0,2,0.02849379558861992,0.4527991218441274,0.45907738095238093,3064.285714285714,88.14285714285714,0.016041226425077465,0.013249015275891656,0.019610381205099992,0.01852328273732956,0.02849379558861992,0.004842002565677818,0.0,0.045520235813920916,0.03938716884774976
2020-05-12,Peru,72059,2057,3237,96,1,2020,5,12,1,0,2,0.028546052540279494,0.4077047803238978,0.4245152354570638,2981.4285714285716,87.57142857142857,0.016795726504093694,0.013897615717750708,0.041900200634263154,0.024697710316439414,0.028546052540279494,0.004635086833170765,0.0,0.04428938561475662,0.03913182253431216
2020-05-13,Peru,76306,2169,4247,112,1,2020,5,13,2,0,2,0.028425025555002228,0.39201342649178184,0.41487279843444225,3069.8571428571427,90.85714285714286,0.01778564366059104,0.014654316233252933,0.05497378810432982,0.028813995369179314,0.028425025555002228,0.004563086935561814,0.0,0.04560299987903713,0.04060006383657837
2020-05-14,Peru,80604,2267,4298,98,1,2020,5,14,3,0,2,0.0281251550791524,0.3772340498240099,0.39336201598033194,3154.0,91.42857142857143,0.01878744821407011,0.015316429184317382,0.05563393955083813,0.0252122459480319,0.0281251550791524,0.004495271652177804,0.0,0.04685294947784364,0.04085541015001597
2020-05-15,Peru,84495,2392,3891,125,1,2020,5,15,4,0,2,0.028309367418190425,0.3661939948582793,0.3955659276546091,3235.4285714285716,96.85714285714286,0.019694386677910746,0.016160961009654688,0.05036567212478157,0.03215847697453049,0.028309367418190425,0.0044446142751513,0.0,0.04806257812184993,0.04328120012767316
2020-05-16,Peru,88541,2523,4046,131,1,2020,5,16,5,1,2,0.02849527337617601,0.36185495654848876,0.3908489525909593,3360.8571428571427,101.28571428571429,0.020637453505127197,0.017046030362608183,0.052372014756326454,0.03370208386930795,0.02849527337617601,0.00442470456453176,0.0,0.04992583066472277,0.04526013405681456
2020-05-17,Peru,92273,2648,3732,125,1,2020,5,17,6,1,2,0.028697452125757264,0.3709272438230793,0.40179989412387496,3566.5714285714284,108.42857142857143,0.021507331260730705,0.01789056218794549,0.04830755290919682,0.03215847697453049,0.028697452125757264,0.0044663328243899104,0.0,0.0529817346074755,0.04845196297478456
2020-05-18,Peru,94933,2789,2660,141,1,2020,5,18,0,0,2,0.029378614391202217,0.37939902938014014,0.4222335543090261,3730.1428571428573,118.28571428571429,0.02212734059350277,0.01884319408692597,0.0344314283865122,0.03627476202727039,0.029378614391202217,0.004505205677503766,0.0,0.05541160267306709,0.052856686881583154
2020-05-19,Peru,99483,2914,4550,125,1,2020,5,19,1,0,2,0.029291436727883157,0.3805770271583009,0.41662615459406904,3917.714285714286,122.42857142857143,0.023187882873244452,0.01968772591226328,0.05889586434534982,0.03215847697453049,0.029291436727883157,0.0045106109293589335,0.0,0.05819799286531316,0.05470794765400575
2020-05-20,Peru,104020,3024,4537,110,1,2020,5,20,2,0,2,0.029071332436069987,0.3631955547401253,0.39419087136929454,3959.1428571428573,122.14285714285714,0.024245395032186874,0.02043091391856011,0.05872759044722024,0.028299459737586827,0.029071332436069987,0.004430855909633354,0.0,0.05881341796489531,0.054580274497286946
