date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-30,Philippines,1,0,1,0,1,2020,1,30,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-31,Philippines,1,0,0,0,1,2020,1,31,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-01,Philippines,1,0,0,0,1,2020,2,1,5,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-02-02,Philippines,2,1,1,1,1,2020,2,2,6,1,1,0.5,,,0.5,0.25,2.3308621532784276e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,0.5,,,7.4275443053017815e-06,0.0001117140121289499
2020-02-03,Philippines,2,1,0,0,1,2020,2,3,0,0,1,0.5,,,0.4,0.2,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,,,5.942035444241425e-06,8.937120970315993e-05
2020-02-04,Philippines,2,1,0,0,1,2020,2,4,1,0,1,0.5,,,0.3333333333333333,0.16666666666666666,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,,,4.95169620353452e-06,7.44760080859666e-05
2020-02-05,Philippines,2,1,0,0,1,2020,2,5,2,0,1,0.5,,,0.2857142857142857,0.14285714285714285,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,,,4.244311031601017e-06,6.383657835939994e-05
2020-02-06,Philippines,2,1,0,0,1,2020,2,6,3,0,1,0.5,1.0,inf,0.14285714285714285,0.14285714285714285,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,0.0073528379990177506,,2.1221555158005087e-06,6.383657835939994e-05
2020-02-07,Philippines,3,1,1,0,1,2020,2,7,4,0,1,0.3333333333333333,2.0,inf,0.2857142857142857,0.14285714285714285,4.6617243065568553e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.3333333333333333,0.01194134568161089,,4.244311031601017e-06,6.383657835939994e-05
2020-02-08,Philippines,3,1,0,0,1,2020,2,8,5,1,1,0.3333333333333333,2.0,inf,0.2857142857142857,0.14285714285714285,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.01194134568161089,,4.244311031601017e-06,6.383657835939994e-05
2020-02-09,Philippines,3,1,0,0,1,2020,2,9,6,1,1,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.005058584157721181,0.0,2.1221555158005087e-06,0.0
2020-02-10,Philippines,3,1,0,0,1,2020,2,10,0,0,1,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.005058584157721181,0.0,2.1221555158005087e-06,0.0
2020-02-11,Philippines,3,1,0,0,1,2020,2,11,1,0,1,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.005058584157721181,0.0,2.1221555158005087e-06,0.0
2020-02-12,Philippines,3,1,0,0,1,2020,2,12,2,0,1,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.005058584157721181,0.0,2.1221555158005087e-06,0.0
2020-02-13,Philippines,3,1,0,0,1,2020,2,13,3,0,1,0.3333333333333333,0.5,0.0,0.14285714285714285,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.005058584157721181,0.0,2.1221555158005087e-06,0.0
2020-02-14,Philippines,3,1,0,0,1,2020,2,14,4,0,1,0.3333333333333333,0.0,0.0,0.0,0.0,4.6617243065568553e-07,6.756254602698448e-06,0.0,0.0,0.3333333333333333,0.0027643303164246124,0.0,0.0,0.0
