date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-04,Poland,1,0,1,0,1,2020,3,4,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-05,Poland,1,0,0,0,1,2020,3,5,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-06,Poland,5,0,4,0,1,2020,3,6,4,0,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-07,Poland,5,0,0,0,1,2020,3,7,5,1,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-08,Poland,11,0,6,0,1,2020,3,8,6,1,1,0.0,,,2.2,0.0,2.3308621532784276e-06,0.0,7.766487605980195e-05,0.0,0.0,,,3.268119494332784e-05,0.0
2020-03-09,Poland,16,0,5,0,1,2020,3,9,0,0,1,0.0,,,2.6666666666666665,0.0,3.4962932299176414e-06,0.0,6.472073004983496e-05,0.0,0.0,,,3.961356962827616e-05,0.0
2020-03-10,Poland,22,0,6,0,1,2020,3,10,1,0,1,0.0,,,3.142857142857143,0.0,4.894810521884698e-06,0.0,7.766487605980195e-05,0.0,0.0,,,4.6687421347611195e-05,0.0
2020-03-11,Poland,31,0,9,0,1,2020,3,11,2,0,1,0.0,30.0,,4.285714285714286,0.0,6.992586459835283e-06,0.0,0.00011649731408970293,0.0,0.0,0.14041956079421877,,6.366466547401527e-05,0.0
2020-03-12,Poland,49,1,18,1,1,2020,3,12,3,0,1,0.02040816326530612,48.0,inf,6.857142857142857,0.14285714285714285,1.1188138335736451e-05,6.756254602698448e-06,0.00023299462817940586,0.0002572678157962439,0.02040816326530612,0.22301269908089527,,0.00010186346475842442,6.383657835939994e-05
2020-03-13,Poland,68,2,19,1,1,2020,3,13,4,0,1,0.029411764705882353,12.6,inf,9.0,0.2857142857142857,1.5616776426965463e-05,1.3512509205396897e-05,0.00024593877418937284,0.0002572678157962439,0.029411764705882353,0.06057952711709815,,0.00013369579749543205,0.00012767315671879988
2020-03-14,Poland,103,3,35,1,1,2020,3,14,5,1,1,0.02912621359223301,19.6,inf,14.0,0.42857142857142855,2.3774793963439962e-05,2.0268763808095344e-05,0.0004530451103488447,0.0002572678157962439,0.02912621359223301,0.09269908089525014,,0.00020797124054844988,0.0001915097350781998
2020-03-15,Poland,119,3,16,0,1,2020,3,15,6,1,1,0.025210084033613446,9.818181818181818,inf,15.428571428571429,0.42857142857142855,2.7504173408685445e-05,2.0268763808095344e-05,0.00020710633615947187,0.0,0.025210084033613446,0.04781513301824815,,0.00022919279570645496,0.0001915097350781998
2020-03-16,Poland,177,4,58,1,1,2020,3,16,0,0,1,0.022598870056497175,10.0625,inf,23.0,0.5714285714285714,4.102317389770033e-05,2.7025018410793794e-05,0.0007507604685780856,0.0002572678157962439,0.022598870056497175,0.04893618887251806,,0.00034166703804388194,0.00025534631343759976
2020-03-17,Poland,238,5,61,1,1,2020,3,17,1,0,1,0.02100840336134454,9.818181818181818,inf,30.857142857142858,0.7142857142857143,5.524143303269873e-05,3.378127301349224e-05,0.0007895929066079866,0.0002572678157962439,0.02100840336134454,0.04781513301824815,,0.0004583855914129099,0.00031918289179699974
2020-03-18,Poland,251,5,13,0,1,2020,3,18,2,0,1,0.0199203187250996,7.096774193548388,inf,31.428571428571427,0.7142857142857143,5.827155383196069e-05,3.378127301349224e-05,0.0001682738981295709,0.0,0.0199203187250996,0.03532793322515011,,0.00046687421347611194,0.00031918289179699974
2020-03-19,Poland,355,5,104,0,1,2020,3,19,3,0,1,0.014084507042253521,6.244897959183674,4.0,43.714285714285715,0.5714285714285714,8.251252022605634e-05,3.378127301349224e-05,0.0013461911850365673,0.0,0.014084507042253521,0.03141909257914911,0.0,0.0006493795878349557,0.00025534631343759976
