date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-29,Qatar,1,0,1,0,1,2020,2,29,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-01,Qatar,3,0,2,0,1,2020,3,1,6,1,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-03-02,Qatar,3,0,0,0,1,2020,3,2,0,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-03,Qatar,7,0,4,0,1,2020,3,3,1,0,1,0.0,,,1.75,0.0,1.3985172919670564e-06,0.0,5.177658403986797e-05,0.0,0.0,,,2.5996405068556236e-05,0.0
2020-03-04,Qatar,8,0,1,0,1,2020,3,4,2,0,1,0.0,,,1.6,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.37681417769657e-05,0.0
2020-03-05,Qatar,8,0,0,0,1,2020,3,5,3,0,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-06,Qatar,8,0,0,0,1,2020,3,6,4,0,1,0.0,,,1.1428571428571428,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.697724412640407e-05,0.0
2020-03-07,Qatar,8,0,0,0,1,2020,3,7,5,1,1,0.0,7.0,,1.0,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.03488388409457658,,1.4855088610603563e-05,0.0
2020-03-08,Qatar,15,0,7,0,1,2020,3,8,6,1,1,0.0,4.0,,1.7142857142857142,0.0,3.2632070145897985e-06,0.0,9.060902206976894e-05,0.0,0.0,0.021118361046797166,,2.5465866189606106e-05,0.0
2020-03-09,Qatar,18,0,3,0,1,2020,3,9,0,0,1,0.0,5.0,,2.142857142857143,0.0,3.962465660573327e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.025706868729390302,,3.1832332737007634e-05,0.0
2020-03-10,Qatar,24,0,6,0,1,2020,3,10,1,0,1,0.0,2.4285714285714284,,2.4285714285714284,0.0,5.360982952540383e-06,0.0,7.766487605980195e-05,0.0,0.0,0.013907848974150806,,3.607664376860865e-05,0.0
2020-03-11,Qatar,262,0,238,0,1,2020,3,11,2,0,1,0.0,31.75,,36.285714285714285,0.0,6.0835502200566956e-05,0.0,0.003080706750372144,0.0,0.0,0.14844944923875675,,0.0005390275010133292,0.0
2020-03-12,Qatar,262,0,0,0,1,2020,3,12,3,0,1,0.0,31.75,,36.285714285714285,0.0,6.0835502200566956e-05,0.0,0.0,0.0,0.0,0.14844944923875675,,0.0005390275010133292,0.0
2020-03-13,Qatar,320,0,58,0,1,2020,3,13,4,0,1,0.0,39.0,,44.57142857142857,0.0,7.435450268958184e-05,0.0,0.0007507604685780856,0.0,0.0,0.181716129937557,,0.0006621125209297587,0.0
2020-03-14,Qatar,337,0,17,0,1,2020,3,14,5,1,1,0.0,41.125,,47.0,0.0,7.831696835015516e-05,0.0,0.00022005048216943888,0.0,0.0,0.19146670876306743,,0.0006981891646983675,0.0
2020-03-15,Qatar,401,0,64,0,1,2020,3,15,6,1,1,0.0,25.733333333333334,,55.142857142857146,0.0,9.32344861311371e-05,0.0,0.0008284253446378875,0.0,0.0,0.12084192801515471,,0.0008191520290989965,0.0
2020-03-16,Qatar,439,0,38,0,1,2020,3,16,0,0,1,0.0,23.38888888888889,,60.142857142857146,0.0,0.00010209176231359512,0.0,0.0004918775483787457,0.0,0.0,0.11008442667040857,,0.0008934274721520143,0.0
2020-03-17,Qatar,439,0,0,0,1,2020,3,17,1,0,1,0.0,17.291666666666668,,59.285714285714285,0.0,0.00010209176231359512,0.0,0.0,0.0,0.0,0.08210727566126431,,0.0008806945390572112,0.0
2020-03-18,Qatar,452,0,13,0,1,2020,3,18,2,0,1,0.0,0.7251908396946565,,27.142857142857142,0.0,0.00010512188311285708,0.0,0.0001682738981295709,0.0,0.0,0.006091874055709713,,0.0004032095480020967,0.0
2020-03-19,Qatar,460,0,8,0,1,2020,3,19,3,0,1,0.0,0.7557251908396947,,28.285714285714285,0.0,0.00010698657283547982,0.0,0.00010355316807973594,0.0,0.0,0.006231981160521718,,0.0004201867921285007,0.0
2020-03-20,Qatar,470,0,10,0,1,2020,3,20,4,0,1,0.0,0.46875,,21.428571428571427,0.0,0.00010931743498875825,0.0,0.00012944146009966992,0.0,0.0,0.0049151932926401465,,0.00031832332737007633,0.0
2020-03-21,Qatar,481,0,11,0,1,2020,3,21,5,1,1,0.0,0.42729970326409505,,20.571428571428573,0.0,0.00011188138335736452,0.0,0.00014238560610963693,0.0,0.0,0.004724998287621681,,0.0003055903942752733,0.0
2020-03-22,Qatar,494,0,13,0,1,2020,3,22,6,1,1,0.0,0.23192019950124698,,13.285714285714286,0.0,0.00011491150415662648,0.0,0.0001682738981295709,0.0,0.0,0.0038284979335846177,,0.00019736046296944733,0.0
2020-03-23,Qatar,501,0,7,0,1,2020,3,23,0,0,1,0.0,0.14123006833712992,,8.857142857142858,0.0,0.00011654310766392138,0.0,9.060902206976894e-05,0.0,0.0,0.003412365570002687,,0.00013157364197963155,0.0
2020-03-24,Qatar,526,0,25,0,1,2020,3,24,1,0,1,0.0,0.19817767653758533,,12.428571428571429,0.0,0.00012237026304711744,0.0,0.0003236036502491748,0.0,0.0,0.0036736701077357808,,0.00018462752987464428,0.0
2020-03-25,Qatar,537,0,11,0,1,2020,3,25,2,0,1,0.0,0.18805309734513265,,12.142857142857142,0.0,0.0001249342114157237,0.0,0.00014238560610963693,0.0,0.0,0.003627213398328189,,0.00018038321884304324,0.0
2020-03-26,Qatar,549,0,12,0,1,2020,3,26,3,0,1,0.0,0.19347826086956532,,12.714285714285714,0.0,0.00012773124599965783,0.0,0.0001553297521196039,0.0,0.0,0.0036521068028393723,,0.00018887184090624529,0.0
2020-03-27,Qatar,562,0,13,0,1,2020,3,27,4,0,1,0.0,0.1957446808510639,,13.142857142857142,0.0,0.0001307613667989198,0.0,0.0001682738981295709,0.0,0.0,0.0036625062883364613,,0.0001952383074536468,0.0
2020-03-28,Qatar,590,1,28,1,1,2020,3,28,5,1,1,0.001694915254237288,0.22661122661122657,inf,15.571428571428571,0.14285714285714285,0.00013728778082809938,6.756254602698448e-06,0.0003624360882790758,0.0002572678157962439,0.001694915254237288,0.0038041376706920804,,0.00023131495122225546,6.383657835939994e-05
2020-03-29,Qatar,634,1,44,0,1,2020,3,29,6,1,1,0.0015772870662460567,0.2834008097165992,inf,20.0,0.14285714285714285,0.00014754357430252446,6.756254602698448e-06,0.0005695424244385477,0.0,0.0015772870662460567,0.004064717109062344,,0.0002971017722120712,6.383657835939994e-05
2020-03-30,Qatar,693,1,59,0,1,2020,3,30,0,0,1,0.001443001443001443,0.38323353293413165,inf,27.428571428571427,0.14285714285714285,0.00016129566100686718,6.756254602698448e-06,0.0007637046145880526,0.0,0.001443001443001443,0.004522800326520186,,0.0004074538590336977,6.383657835939994e-05
2020-03-31,Qatar,781,2,88,1,1,2020,3,31,1,0,1,0.002560819462227913,0.4847908745247149,inf,36.42857142857143,0.2857142857142857,0.00018180724795571735,1.3512509205396897e-05,0.0011390848488770954,0.0002572678157962439,0.002560819462227913,0.0049887969686323134,,0.0005411496565291298,0.00012767315671879988
2020-04-01,Qatar,835,2,54,0,1,2020,4,1,2,0,2,0.0023952095808383233,0.5549348230912476,inf,42.57142857142857,0.2857142857142857,0.00019439390358342085,1.3512509205396897e-05,0.0006989838845382175,0.0,0.0023952095808383233,0.0053106530155172665,,0.0006324023437085516,0.00012767315671879988
2020-04-02,Qatar,949,3,114,1,1,2020,4,2,3,0,2,0.003161222339304531,0.7285974499089254,inf,57.142857142857146,0.42857142857142855,0.00022096573213079492,2.0268763808095344e-05,0.0014756326451362371,0.0002572678157962439,0.003161222339304531,0.006107505312849486,,0.0008488622063202036,0.0001915097350781998
2020-04-03,Qatar,1075,3,126,0,1,2020,4,3,4,0,2,0.0027906976744186047,0.9128113879003559,inf,73.28571428571429,0.42857142857142855,0.0002503345952621031,2.0268763808095344e-05,0.001630962397255841,0.0,0.0027906976744186047,0.006952772382563901,,0.0010886657796056612,0.0001915097350781998
2020-04-04,Qatar,1325,3,250,0,1,2020,4,4,5,1,2,0.0022641509433962265,1.2457627118644066,2.0,105.0,0.2857142857142857,0.0003086061490940638,2.0268763808095344e-05,0.003236036502491748,0.0,0.0022641509433962265,0.008480522090502504,0.0,0.001559784304113374,0.00012767315671879988
2020-04-05,Qatar,1604,4,279,1,1,2020,4,5,6,1,2,0.0024937655860349127,1.529968454258675,3.0,138.57142857142858,0.42857142857142855,0.00037363720317053195,2.7025018410793794e-05,0.003611416736780791,0.0002572678157962439,0.0024937655860349127,0.00978460232291569,0.0,0.0020584908503264937,0.0001915097350781998
2020-04-06,Qatar,1832,4,228,0,1,2020,4,6,0,0,2,0.002183406113537118,1.6435786435786435,3.0,162.71428571428572,0.42857142857142855,0.0004267808602652801,2.7025018410793794e-05,0.0029512652902724743,0.0,0.002183406113537118,0.010305903549431228,0.0,0.0024171351324967796,0.0001915097350781998
2020-04-07,Qatar,2057,6,225,2,1,2020,4,7,1,0,2,0.002916869227029655,1.6338028169014085,2.0,182.28571428571428,0.5714285714285714,0.0004792252587140447,4.053752761619069e-05,0.0029124328522425733,0.0005145356315924878,0.002916869227029655,0.010261047093619037,0.0,0.002707870438161449,0.00025534631343759976
2020-04-08,Qatar,2210,6,153,0,1,2020,4,8,2,0,2,0.0027149321266968325,1.6467065868263475,2.0,196.42857142857142,0.5714285714285714,0.0005148874496592046,4.053752761619069e-05,0.00198045433952495,0.0,0.0027149321266968325,0.010320256141054033,0.0,0.0029179638342256994,0.00025534631343759976
2020-04-09,Qatar,2376,6,166,0,1,2020,4,9,3,0,2,0.0025252525252525255,1.5036880927291887,1.0,203.85714285714286,0.42857142857142855,0.0005535797614036266,4.053752761619069e-05,0.0021487282376545206,0.0,0.0025252525252525255,0.009664014682136318,0.0,0.0030283159210473263,0.0001915097350781998
2020-04-10,Qatar,2512,6,136,0,1,2020,4,10,4,0,2,0.0023885350318471337,1.3367441860465115,1.0,205.28571428571428,0.42857142857142855,0.0005852794866882131,4.053752761619069e-05,0.001760403857355511,0.0,0.0023885350318471337,0.008897991283760742,0.0,0.003049537476205331,0.0001915097350781998
2020-04-11,Qatar,2728,6,216,0,1,2020,4,11,5,1,2,0.0021994134897360706,1.0588679245283017,1.0,200.42857142857142,0.42857142857142855,0.0006356261091990272,4.053752761619069e-05,0.00279593553815287,0.0,0.0021994134897360706,0.007622953922974176,0.0,0.0029773841886681137,0.0001915097350781998
2020-04-12,Qatar,2979,7,251,1,1,2020,4,12,6,1,2,0.0023497818059751594,0.8572319201995013,0.75,196.42857142857142,0.42857142857142855,0.0006941307492463158,4.729378221888914e-05,0.0032489806485017153,0.0002572678157962439,0.0023497818059751594,0.006697745568024093,0.0,0.0029179638342256994,0.0001915097350781998
2020-04-13,Qatar,3231,7,252,0,1,2020,4,13,0,0,2,0.002166511915815537,0.7636462882096069,0.75,199.85714285714286,0.42857142857142855,0.0007528684755089321,4.729378221888914e-05,0.003261924794511682,0.0,0.002166511915815537,0.006268327176658128,0.0,0.002968895566604912,0.0001915097350781998
2020-04-14,Qatar,3428,7,197,0,1,2020,4,14,1,0,2,0.002042007001166861,0.6665046183762762,0.16666666666666674,195.85714285714286,0.14285714285714285,0.0007987864599285172,4.729378221888914e-05,0.0025499967639634976,0.0,0.002042007001166861,0.0058225918783279635,0.0,0.0029094752121624975,6.383657835939994e-05
2020-04-15,Qatar,3711,7,283,0,1,2020,4,15,2,0,2,0.001886284020479655,0.679185520361991,0.16666666666666674,214.42857142857142,0.14285714285714285,0.0008647498588662966,4.729378221888914e-05,0.003663193320820659,0.0,0.001886284020479655,0.005880778294511627,0.0,0.0031853554292165637,6.383657835939994e-05
