date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-14,Rwanda,1,0,1,0,1,2020,3,14,5,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-15,Rwanda,1,0,0,0,1,2020,3,15,6,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-16,Rwanda,5,0,4,0,1,2020,3,16,0,0,1,0.0,,,1.6666666666666667,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-17,Rwanda,7,0,2,0,1,2020,3,17,1,0,1,0.0,,,1.75,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,2.5996405068556236e-05,0.0
2020-03-18,Rwanda,8,0,1,0,1,2020,3,18,2,0,1,0.0,,,1.6,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,,,2.37681417769657e-05,0.0
2020-03-19,Rwanda,8,0,0,0,1,2020,3,19,3,0,1,0.0,,,1.3333333333333333,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-20,Rwanda,17,0,9,0,1,2020,3,20,4,0,1,0.0,,,2.4285714285714284,0.0,3.7293794452454842e-06,0.0,0.00011649731408970293,0.0,0.0,,,3.607664376860865e-05,0.0
2020-03-21,Rwanda,17,0,0,0,1,2020,3,21,5,1,1,0.0,16.0,,2.2857142857142856,0.0,3.7293794452454842e-06,0.0,0.0,0.0,0.0,0.07618045323791484,,3.395448825280814e-05,0.0
2020-03-22,Rwanda,19,0,2,0,1,2020,3,22,6,1,1,0.0,18.0,,2.5714285714285716,0.0,4.1955518759011695e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.0853574686031011,,3.819879928440916e-05,0.0
2020-03-23,Rwanda,36,0,17,0,1,2020,3,23,0,0,1,0.0,6.2,,4.428571428571429,0.0,8.158017536474496e-06,0.0,0.00022005048216943888,0.0,0.0,0.031213077948502074,,6.578682098981577e-05,0.0
2020-03-24,Rwanda,40,0,4,0,1,2020,3,24,1,0,1,0.0,4.714285714285714,,4.714285714285714,0.0,9.090362397785867e-06,0.0,5.177658403986797e-05,0.0,0.0,0.024395866534363694,,7.00311320214168e-05,0.0
2020-03-25,Rwanda,41,0,1,0,1,2020,3,25,2,0,1,0.0,4.125,,4.714285714285714,0.0,9.32344861311371e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.021691924507121305,,7.00311320214168e-05,0.0
2020-03-26,Rwanda,50,0,9,0,1,2020,3,26,3,0,1,0.0,5.25,,6.0,0.0,1.1421224551064295e-05,0.0,0.00011649731408970293,0.0,0.0,0.026853995650038587,,8.913053166362137e-05,0.0
2020-03-27,Rwanda,54,0,4,0,1,2020,3,27,4,0,1,0.0,2.176470588235294,,5.285714285714286,0.0,1.2353569412375666e-05,0.0,5.177658403986797e-05,0.0,0.0,0.012751082331480265,,7.851975408461883e-05,0.0
2020-03-28,Rwanda,60,0,6,0,1,2020,3,28,5,1,1,0.0,2.5294117647058822,,6.142857142857143,0.0,1.3752086704342722e-05,0.0,7.766487605980195e-05,0.0,0.0,0.014370555631219022,,9.125268717942189e-05,0.0
