date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-04-06,Sao Tome and Principe,4,0,4,0,1,2020,4,6,0,0,2,0.0,,,4.0,0.0,6.992586459835282e-07,0.0,5.177658403986797e-05,0.0,0.0,,,5.942035444241425e-05,0.0
2020-04-07,Sao Tome and Principe,4,0,0,0,1,2020,4,7,1,0,2,0.0,,,2.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-04-08,Sao Tome and Principe,4,0,0,0,1,2020,4,8,2,0,2,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.980678481413808e-05,0.0
2020-04-09,Sao Tome and Principe,4,0,0,0,1,2020,4,9,3,0,2,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-10,Sao Tome and Principe,4,0,0,0,1,2020,4,10,4,0,2,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-04-11,Sao Tome and Principe,4,0,0,0,1,2020,4,11,5,1,2,0.0,,,0.6666666666666666,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-04-12,Sao Tome and Principe,4,0,0,0,1,2020,4,12,6,1,2,0.0,,,0.5714285714285714,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,8.488622063202035e-06,0.0
2020-04-13,Sao Tome and Principe,4,0,0,0,1,2020,4,13,0,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-14,Sao Tome and Principe,4,0,0,0,1,2020,4,14,1,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-15,Sao Tome and Principe,4,0,0,0,1,2020,4,15,2,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-16,Sao Tome and Principe,4,0,0,0,1,2020,4,16,3,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-17,Sao Tome and Principe,4,0,0,0,1,2020,4,17,4,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-18,Sao Tome and Principe,4,0,0,0,1,2020,4,18,5,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-19,Sao Tome and Principe,4,0,0,0,1,2020,4,19,6,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-20,Sao Tome and Principe,4,0,0,0,1,2020,4,20,0,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-21,Sao Tome and Principe,4,0,0,0,1,2020,4,21,1,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-22,Sao Tome and Principe,4,0,0,0,1,2020,4,22,2,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-23,Sao Tome and Principe,4,0,0,0,1,2020,4,23,3,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-24,Sao Tome and Principe,4,0,0,0,1,2020,4,24,4,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-25,Sao Tome and Principe,4,0,0,0,1,2020,4,25,5,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-26,Sao Tome and Principe,4,0,0,0,1,2020,4,26,6,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-27,Sao Tome and Principe,4,0,0,0,1,2020,4,27,0,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-28,Sao Tome and Principe,8,0,4,0,1,2020,4,28,1,0,2,0.0,1.0,,0.5714285714285714,0.0,1.6316035072948993e-06,0.0,5.177658403986797e-05,0.0,0.0,0.0073528379990177506,,8.488622063202035e-06,0.0
2020-04-29,Sao Tome and Principe,8,0,0,0,1,2020,4,29,2,0,2,0.0,1.0,,0.5714285714285714,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,8.488622063202035e-06,0.0
2020-04-30,Sao Tome and Principe,14,0,6,0,1,2020,4,30,3,0,2,0.0,2.5,,1.4285714285714286,0.0,3.0301207992619557e-06,0.0,7.766487605980195e-05,0.0,0.0,0.014235599522907458,,2.122155515800509e-05,0.0
2020-05-01,Sao Tome and Principe,16,1,2,1,1,2020,5,1,4,0,2,0.0625,3.0,inf,1.7142857142857142,0.14285714285714285,3.4962932299176414e-06,6.756254602698448e-06,2.5888292019933984e-05,0.0002572678157962439,0.0625,0.01652985336420403,,2.5465866189606106e-05,6.383657835939994e-05
2020-05-02,Sao Tome and Principe,16,1,0,0,1,2020,5,2,5,1,2,0.0625,3.0,inf,1.7142857142857142,0.14285714285714285,3.4962932299176414e-06,6.756254602698448e-06,0.0,0.0,0.0625,0.01652985336420403,,2.5465866189606106e-05,6.383657835939994e-05
2020-05-03,Sao Tome and Principe,16,1,0,0,1,2020,5,3,6,1,2,0.0625,3.0,inf,1.7142857142857142,0.14285714285714285,3.4962932299176414e-06,6.756254602698448e-06,0.0,0.0,0.0625,0.01652985336420403,,2.5465866189606106e-05,6.383657835939994e-05
2020-05-04,Sao Tome and Principe,23,3,7,2,1,2020,5,4,0,0,2,0.13043478260869565,4.75,inf,2.7142857142857144,0.42857142857142855,5.127896737212541e-06,2.0268763808095344e-05,9.060902206976894e-05,0.0005145356315924878,0.13043478260869565,0.024559741808742017,,4.0320954800209674e-05,0.0001915097350781998
2020-05-05,Sao Tome and Principe,174,3,151,0,1,2020,5,5,1,0,2,0.017241379310344827,20.75,inf,23.714285714285715,0.42857142857142855,4.0323915251716796e-05,2.0268763808095344e-05,0.001954566047505016,0.0,0.017241379310344827,0.09797586473023225,,0.0003522778156228845,0.0001915097350781998
2020-05-06,Sao Tome and Principe,174,3,0,0,1,2020,5,6,2,0,2,0.017241379310344827,20.75,inf,23.714285714285715,0.42857142857142855,4.0323915251716796e-05,2.0268763808095344e-05,0.0,0.0,0.017241379310344827,0.09797586473023225,,0.0003522778156228845,0.0001915097350781998
2020-05-07,Sao Tome and Principe,187,4,13,1,1,2020,5,7,3,0,2,0.0213903743315508,12.357142857142858,inf,24.714285714285715,0.5714285714285714,4.335403605097875e-05,2.7025018410793794e-05,0.0001682738981295709,0.0002572678157962439,0.0213903743315508,0.05946517525132554,,0.00036713290423348805,0.00025534631343759976
2020-05-08,Sao Tome and Principe,208,5,21,1,1,2020,5,8,4,0,2,0.02403846153846154,12.0,4.0,27.428571428571427,0.5714285714285714,4.824884657286345e-05,3.378127301349224e-05,0.00027182706620930685,0.0002572678157962439,0.02403846153846154,0.05782642250754227,0.0,0.0004074538590336977,0.00025534631343759976
2020-05-09,Sao Tome and Principe,208,5,0,0,1,2020,5,9,5,1,2,0.02403846153846154,12.0,4.0,27.428571428571427,0.5714285714285714,4.824884657286345e-05,3.378127301349224e-05,0.0,0.0,0.02403846153846154,0.05782642250754227,0.0,0.0004074538590336977,0.00025534631343759976
2020-05-10,Sao Tome and Principe,208,5,0,0,1,2020,5,10,6,1,2,0.02403846153846154,12.0,4.0,27.428571428571427,0.5714285714285714,4.824884657286345e-05,3.378127301349224e-05,0.0,0.0,0.02403846153846154,0.05782642250754227,0.0,0.0004074538590336977,0.00025534631343759976
2020-05-11,Sao Tome and Principe,208,5,0,0,1,2020,5,11,0,0,2,0.02403846153846154,8.043478260869565,0.6666666666666667,26.428571428571427,0.2857142857142857,4.824884657286345e-05,3.378127301349224e-05,0.0,0.0,0.02403846153846154,0.039671892111195504,0.0,0.0003925987704230941,0.00012767315671879988
2020-05-12,Sao Tome and Principe,208,5,0,0,1,2020,5,12,1,0,2,0.02403846153846154,0.1954022988505748,0.6666666666666667,4.857142857142857,0.2857142857142857,4.824884657286345e-05,3.378127301349224e-05,0.0,0.0,0.02403846153846154,0.0036609352658968355,0.0,7.21532875372173e-05,0.00012767315671879988
2020-05-13,Sao Tome and Principe,220,6,12,1,1,2020,5,13,2,0,2,0.02727272727272727,0.26436781609195403,1.0,6.571428571428571,0.42857142857142855,5.104588115679756e-05,4.053752761619069e-05,0.0001553297521196039,0.0002572678157962439,0.02727272727272727,0.0039773840715929135,0.0,9.76191537268234e-05,0.0001915097350781998
2020-05-14,Sao Tome and Principe,235,7,15,1,1,2020,5,14,3,0,2,0.029787234042553193,0.25668449197860954,0.75,6.857142857142857,0.42857142857142855,5.4542174386715206e-05,4.729378221888914e-05,0.0001941621901495049,0.0002572678157962439,0.029787234042553193,0.00394212907987098,0.0,0.00010186346475842442,0.0001915097350781998
2020-05-15,Sao Tome and Principe,235,7,0,0,1,2020,5,15,4,0,2,0.029787234042553193,0.1298076923076923,0.3999999999999999,3.857142857142857,0.2857142857142857,5.4542174386715206e-05,4.729378221888914e-05,0.0,0.0,0.029787234042553193,0.0033599539098381447,0.0,5.729819892661374e-05,0.00012767315671879988
2020-05-16,Sao Tome and Principe,235,7,0,0,1,2020,5,16,5,1,2,0.029787234042553193,0.1298076923076923,0.3999999999999999,3.857142857142857,0.2857142857142857,5.4542174386715206e-05,4.729378221888914e-05,0.0,0.0,0.029787234042553193,0.0033599539098381447,0.0,5.729819892661374e-05,0.00012767315671879988
2020-05-17,Sao Tome and Principe,235,7,0,0,1,2020,5,17,6,1,2,0.029787234042553193,0.1298076923076923,0.3999999999999999,3.857142857142857,0.2857142857142857,5.4542174386715206e-05,4.729378221888914e-05,0.0,0.0,0.029787234042553193,0.0033599539098381447,0.0,5.729819892661374e-05,0.00012767315671879988
2020-05-18,Sao Tome and Principe,246,7,11,0,1,2020,5,18,0,0,2,0.028455284552845527,0.1826923076923077,0.3999999999999999,5.428571428571429,0.2857142857142857,5.710612275532148e-05,4.729378221888914e-05,0.00014238560610963693,0.0,0.028455284552845527,0.003602615373821436,0.0,8.064190960041935e-05,0.00012767315671879988
2020-05-19,Sao Tome and Principe,251,8,5,1,1,2020,5,19,1,0,2,0.03187250996015936,0.20673076923076916,0.6000000000000001,6.142857142857143,0.42857142857142855,5.827155383196069e-05,5.405003682158759e-05,6.472073004983496e-05,0.0002572678157962439,0.03187250996015936,0.003712916039268386,0.0,9.125268717942189e-05,0.0001915097350781998
2020-05-20,Sao Tome and Principe,251,8,0,0,1,2020,5,20,2,0,2,0.03187250996015936,0.14090909090909087,0.33333333333333326,4.428571428571429,0.2857142857142857,5.827155383196069e-05,5.405003682158759e-05,0.0,0.0,0.03187250996015936,0.003410892762608191,0.0,6.578682098981577e-05,0.00012767315671879988
2020-05-21,Sao Tome and Principe,251,8,0,0,1,2020,5,21,3,0,2,0.03187250996015936,0.06808510638297882,0.1428571428571428,2.2857142857142856,0.14285714285714285,5.827155383196069e-05,5.405003682158759e-05,0.0,0.0,0.03187250996015936,0.003076739350133082,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-05-22,Sao Tome and Principe,251,8,0,0,1,2020,5,22,4,0,2,0.03187250996015936,0.06808510638297882,0.1428571428571428,2.2857142857142856,0.14285714285714285,5.827155383196069e-05,5.405003682158759e-05,0.0,0.0,0.03187250996015936,0.003076739350133082,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-05-23,Sao Tome and Principe,251,8,0,0,1,2020,5,23,5,1,2,0.03187250996015936,0.06808510638297882,0.1428571428571428,2.2857142857142856,0.14285714285714285,5.827155383196069e-05,5.405003682158759e-05,0.0,0.0,0.03187250996015936,0.003076739350133082,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-05-24,Sao Tome and Principe,251,8,0,0,1,2020,5,24,6,1,2,0.03187250996015936,0.06808510638297882,0.1428571428571428,2.2857142857142856,0.14285714285714285,5.827155383196069e-05,5.405003682158759e-05,0.0,0.0,0.03187250996015936,0.003076739350133082,0.0,3.395448825280814e-05,6.383657835939994e-05
2020-05-25,Sao Tome and Principe,299,11,48,3,1,2020,5,25,0,0,2,0.03678929765886288,0.2154471544715446,0.5714285714285714,7.571428571428571,0.5714285714285714,6.945969216769714e-05,7.431880062968293e-05,0.0006213190084784156,0.0007718034473887317,0.03678929765886288,0.0037529112399101255,0.0,0.00011247424233742696,0.00025534631343759976
2020-05-26,Sao Tome and Principe,441,12,142,1,1,2020,5,26,1,0,2,0.027210884353741496,0.7569721115537849,0.5,27.142857142857142,0.5714285714285714,0.00010255793474425081,8.107505523238138e-05,0.0018380687334153128,0.0002572678157962439,0.027210884353741496,0.006237702665797904,0.0,0.0004032095480020967,0.00025534631343759976
2020-05-27,Sao Tome and Principe,443,12,2,0,1,2020,5,27,2,0,2,0.02708803611738149,0.7649402390438247,0.5,27.428571428571427,0.5714285714285714,0.0001030241071749065,8.107505523238138e-05,2.5888292019933984e-05,0.0,0.02708803611738149,0.006274264480001834,0.0,0.0004074538590336977,0.00025534631343759976
2020-05-28,Sao Tome and Principe,458,12,15,0,1,2020,5,28,3,0,2,0.026200873362445413,0.8247011952191234,0.5,29.571428571428573,0.5714285714285714,0.00010652040040482414,8.107505523238138e-05,0.0001941621901495049,0.0,0.026200873362445413,0.006548478086531304,0.0,0.0004392861917707054,0.00025534631343759976
2020-05-29,Sao Tome and Principe,463,12,5,0,1,2020,5,29,4,0,2,0.02591792656587473,0.844621513944223,0.5,30.285714285714285,0.5714285714285714,0.00010768583148146335,8.107505523238138e-05,6.472073004983496e-05,0.0,0.02591792656587473,0.0066398826220411275,0.0,0.00044989696934970785,0.00025534631343759976
2020-05-30,Sao Tome and Principe,479,12,16,0,1,2020,5,30,5,1,2,0.025052192066805846,0.9083665338645419,0.5,32.57142857142857,0.5714285714285714,0.00011141521092670884,8.107505523238138e-05,0.00020710633615947187,0.0,0.025052192066805846,0.0069323771356725634,0.0,0.000483851457602516,0.00025534631343759976
2020-05-31,Sao Tome and Principe,483,12,4,0,1,2020,5,31,6,1,2,0.024844720496894408,0.9243027888446216,0.5,33.142857142857146,0.5714285714285714,0.00011234755578802021,8.107505523238138e-05,5.177658403986797e-05,0.0,0.024844720496894408,0.007005500764080422,0.0,0.0004923400796657181,0.00025534631343759976
2020-06-01,Sao Tome and Principe,484,12,1,0,1,2020,6,1,0,0,2,0.024793388429752067,0.6187290969899666,0.09090909090909083,26.428571428571427,0.14285714285714285,0.00011258064200334805,8.107505523238138e-05,1.2944146009966992e-05,0.0,0.024793388429752067,0.00560337353140699,0.0,0.0003925987704230941,6.383657835939994e-05
2020-06-02,Sao Tome and Principe,484,12,0,0,1,2020,6,2,1,0,2,0.024793388429752067,0.0975056689342404,0.0,6.142857142857143,0.0,0.00011258064200334805,8.107505523238138e-05,0.0,0.0,0.024793388429752067,0.0032117358274257575,0.0,9.125268717942189e-05,0.0
2020-06-03,Sao Tome and Principe,484,12,0,0,1,2020,6,3,2,0,2,0.024793388429752067,0.09255079006772005,0.0,5.857142857142857,0.0,0.00011258064200334805,8.107505523238138e-05,0.0,0.0,0.024793388429752067,0.0031890003276804106,0.0,8.700837614782086e-05,0.0
2020-06-04,Sao Tome and Principe,485,12,1,0,1,2020,6,4,3,0,2,0.024742268041237112,0.058951965065502154,0.0,3.857142857142857,0.0,0.00011281372821867589,8.107505523238138e-05,1.2944146009966992e-05,0.0,0.024742268041237112,0.0030348318610316314,0.0,5.729819892661374e-05,0.0
2020-06-05,Sao Tome and Principe,499,12,14,0,1,2020,6,5,4,0,2,0.02404809619238477,0.0777537796976242,0.0,5.142857142857143,0.0,0.00011607693523326569,8.107505523238138e-05,0.0001812180441395379,0.0,0.02404809619238477,0.0031211041319178156,0.0,7.639759856881832e-05,0.0
