date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-02,Saudi Arabia,1,0,1,0,1,2020,3,2,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-03,Saudi Arabia,1,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-04,Saudi Arabia,1,0,0,0,1,2020,3,4,2,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-05,Saudi Arabia,5,0,4,0,1,2020,3,5,3,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-06,Saudi Arabia,5,0,0,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Saudi Arabia,5,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.8333333333333334,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.2379240508836303e-05,0.0
2020-03-08,Saudi Arabia,11,0,6,0,1,2020,3,8,6,1,1,0.0,,,1.5714285714285714,0.0,2.3308621532784276e-06,0.0,7.766487605980195e-05,0.0,0.0,,,2.3343710673805598e-05,0.0
2020-03-09,Saudi Arabia,15,0,4,0,1,2020,3,9,0,0,1,0.0,14.0,,2.0,0.0,3.2632070145897985e-06,0.0,5.177658403986797e-05,0.0,0.0,0.06700343787272854,,2.9710177221207126e-05,0.0
2020-03-10,Saudi Arabia,20,0,5,0,1,2020,3,10,1,0,1,0.0,19.0,,2.7142857142857144,0.0,4.428638091229012e-06,0.0,6.472073004983496e-05,0.0,0.0,0.08994597628569424,,4.0320954800209674e-05,0.0
2020-03-11,Saudi Arabia,21,0,1,0,1,2020,3,11,2,0,1,0.0,20.0,,2.857142857142857,0.0,4.661724306556855e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.09453448396828738,,4.244311031601018e-05,0.0
2020-03-12,Saudi Arabia,45,0,24,0,1,2020,3,12,3,0,1,0.0,8.0,,5.714285714285714,0.0,1.0255793474425082e-05,0.0,0.0003106595042392078,0.0,0.0,0.03947239177716972,,8.488622063202036e-05,0.0
2020-03-13,Saudi Arabia,86,0,41,0,1,2020,3,13,4,0,1,0.0,16.2,,11.571428571428571,0.0,1.9812328302866635e-05,0.0,0.0005307099864086467,0.0,0.0,0.07709815477443345,,0.00017189459677984122,0.0
2020-03-14,Saudi Arabia,103,0,17,0,1,2020,3,14,5,1,1,0.0,19.6,,14.0,0.0,2.3774793963439962e-05,0.0,0.00022005048216943888,0.0,0.0,0.09269908089525014,,0.00020797124054844988,0.0
2020-03-15,Saudi Arabia,103,0,0,0,1,2020,3,15,6,1,1,0.0,8.363636363636363,,13.142857142857142,0.0,2.3774793963439962e-05,0.0,0.0,0.0,0.0,0.0411409400253854,,0.0001952383074536468,0.0
2020-03-16,Saudi Arabia,118,0,15,0,1,2020,3,16,0,0,1,0.0,6.866666666666666,,14.714285714285714,0.0,2.7271087193357603e-05,0.0,0.0001941621901495049,0.0,0.0,0.03427208307023083,,0.0002185820181274524,0.0
2020-03-17,Saudi Arabia,171,0,53,0,1,2020,3,17,1,0,1,0.0,7.550000000000001,,21.571428571428573,0.0,3.962465660573327e-05,0.0,0.0006860397385282506,0.0,0.0,0.03740756332000281,,0.0003204454828858769,0.0
2020-03-18,Saudi Arabia,171,0,0,0,1,2020,3,18,2,0,1,0.0,7.142857142857142,,21.428571428571427,0.0,3.962465660573327e-05,0.0,0.0,0.0,0.0,0.035539385192089885,,0.00031832332737007633,0.0
2020-03-19,Saudi Arabia,274,0,103,0,1,2020,3,19,3,0,1,0.0,5.088888888888889,,32.714285714285715,0.0,6.363253678450107e-05,0.0,0.0013332470390266002,0.0,0.0,0.026114736078954134,,0.00048597361311831654,0.0
2020-03-20,Saudi Arabia,344,0,70,0,1,2020,3,20,4,0,1,0.0,3.0,,36.857142857142854,0.0,7.994857185745007e-05,0.0,0.0009060902206976894,0.0,0.0,0.01652985336420403,,0.0005475161230765312,0.0
2020-03-21,Saudi Arabia,392,0,48,0,1,2020,3,21,5,1,1,0.0,2.8058252427184467,,41.285714285714285,0.0,9.113671019318652e-05,0.0,0.0006213190084784156,0.0,0.0,0.01563888099865196,,0.000613302944066347,0.0
2020-03-22,Saudi Arabia,511,0,119,0,1,2020,3,22,6,1,1,0.0,3.9611650485436893,,58.285714285714285,0.0,0.0001188739698171998,0.0,0.001540353375186072,0.0,0.0,0.02094016657368675,,0.0008658394504466076,0.0
2020-03-23,Saudi Arabia,562,0,51,0,1,2020,3,23,0,0,1,0.0,3.7627118644067794,,63.42857142857143,0.0,0.0001307613667989198,0.0,0.0006601514465083166,0.0,0.0,0.020029562613639473,,0.000942237049015426,0.0
2020-03-24,Saudi Arabia,767,1,205,1,1,2020,3,24,1,0,1,0.001303780964797914,3.485380116959064,inf,85.14285714285714,0.14285714285714285,0.00017854404094112754,6.756254602698448e-06,0.0026535499320432337,0.0002572678157962439,0.001303780964797914,0.018757023759848647,,0.0012648046874171033,6.383657835939994e-05
2020-03-25,Saudi Arabia,900,2,133,1,1,2020,3,25,2,0,1,0.0022222222222222222,4.2631578947368425,inf,104.14285714285714,0.2857142857142857,0.00020954450757973065,1.3512509205396897e-05,0.00172157141932561,0.0002572678157962439,0.0022222222222222222,0.022325863068532202,,0.001547051371018571,0.00012767315671879988
