date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-02,Senegal,1,0,1,0,1,2020,3,2,0,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-03,Senegal,2,0,1,0,1,2020,3,3,1,0,1,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-04,Senegal,4,0,2,0,1,2020,3,4,2,0,1,0.0,,,1.3333333333333333,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.980678481413808e-05,0.0
2020-03-05,Senegal,4,0,0,0,1,2020,3,5,3,0,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-06,Senegal,4,0,0,0,1,2020,3,6,4,0,1,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,1.188407088848285e-05,0.0
2020-03-07,Senegal,4,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.6666666666666666,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-03-08,Senegal,4,0,0,0,1,2020,3,8,6,1,1,0.0,,,0.5714285714285714,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,8.488622063202035e-06,0.0
2020-03-09,Senegal,4,0,0,0,1,2020,3,9,0,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-10,Senegal,4,0,0,0,1,2020,3,10,1,0,1,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-03-11,Senegal,4,0,0,0,1,2020,3,11,2,0,1,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-12,Senegal,4,0,0,0,1,2020,3,12,3,0,1,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-13,Senegal,10,0,6,0,1,2020,3,13,4,0,1,0.0,1.5,,0.8571428571428571,0.0,2.0977759379505848e-06,0.0,7.766487605980195e-05,0.0,0.0,0.00964709184031432,,1.2732933094803053e-05,0.0
2020-03-14,Senegal,10,0,0,0,1,2020,3,14,5,1,1,0.0,1.5,,0.8571428571428571,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.00964709184031432,,1.2732933094803053e-05,0.0
