date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-31,Sierra Leone,1,0,1,0,1,2020,3,31,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-01,Sierra Leone,2,0,1,0,1,2020,4,1,2,0,2,0.0,,,1.0,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-02,Sierra Leone,2,0,0,0,1,2020,4,2,3,0,2,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,9.90339240706904e-06,0.0
2020-04-03,Sierra Leone,2,0,0,0,1,2020,4,3,4,0,2,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-04-04,Sierra Leone,4,0,2,0,1,2020,4,4,5,1,2,0.0,,,0.8,0.0,6.992586459835282e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.188407088848285e-05,0.0
2020-04-05,Sierra Leone,6,0,2,0,1,2020,4,5,6,1,2,0.0,,,1.0,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-06,Sierra Leone,6,0,0,0,1,2020,4,6,0,0,2,0.0,,,0.8571428571428571,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,,,1.2732933094803053e-05,0.0
2020-04-07,Sierra Leone,6,0,0,0,1,2020,4,7,1,0,2,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,0.0,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-04-08,Sierra Leone,7,0,1,0,1,2020,4,8,2,0,2,0.0,2.5,,0.7142857142857143,0.0,1.3985172919670564e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.014235599522907458,,1.0610777579002545e-05,0.0
2020-04-09,Sierra Leone,7,0,0,0,1,2020,4,9,3,0,2,0.0,2.5,,0.7142857142857143,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,0.014235599522907458,,1.0610777579002545e-05,0.0
2020-04-10,Sierra Leone,8,0,1,0,1,2020,4,10,4,0,2,0.0,3.0,,0.8571428571428571,0.0,1.6316035072948993e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,1.2732933094803053e-05,0.0
2020-04-11,Sierra Leone,8,0,0,0,1,2020,4,11,5,1,2,0.0,1.0,,0.5714285714285714,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,8.488622063202035e-06,0.0
2020-04-12,Sierra Leone,10,0,2,0,1,2020,4,12,6,1,2,0.0,0.6666666666666667,,0.5714285714285714,0.0,2.0977759379505848e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.005823335438153372,,8.488622063202035e-06,0.0
2020-04-13,Sierra Leone,10,0,0,0,1,2020,4,13,0,0,2,0.0,0.6666666666666667,,0.5714285714285714,0.0,2.0977759379505848e-06,0.0,0.0,0.0,0.0,0.005823335438153372,,8.488622063202035e-06,0.0
2020-04-14,Sierra Leone,11,0,1,0,1,2020,4,14,1,0,2,0.0,0.8333333333333333,,0.7142857142857143,0.0,2.3308621532784276e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.006588086718585561,,1.0610777579002545e-05,0.0
2020-04-15,Sierra Leone,13,0,2,0,1,2020,4,15,2,0,2,0.0,0.8571428571428572,,0.8571428571428571,0.0,2.797034583934113e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.006697336901504446,,1.2732933094803053e-05,0.0
2020-04-16,Sierra Leone,15,0,2,0,1,2020,4,16,3,0,2,0.0,1.1428571428571428,,1.1428571428571428,0.0,3.2632070145897985e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.008008339096531055,,1.697724412640407e-05,0.0
2020-04-17,Sierra Leone,26,0,11,0,1,2020,4,17,4,0,2,0.0,2.25,,2.5714285714285716,0.0,5.827155383196069e-06,0.0,0.00014238560610963693,0.0,0.0,0.013088472602259173,,3.819879928440916e-05,0.0
2020-04-18,Sierra Leone,30,0,4,0,1,2020,4,18,5,1,2,0.0,2.75,,3.142857142857143,0.0,6.7595002445074395e-06,0.0,5.177658403986797e-05,0.0,0.0,0.015382726443555744,,4.6687421347611195e-05,0.0
2020-04-19,Sierra Leone,35,0,5,0,1,2020,4,19,6,1,2,0.0,2.5,,3.5714285714285716,0.0,7.924931321146654e-06,0.0,6.472073004983496e-05,0.0,0.0,0.014235599522907458,,5.3053887895012723e-05,0.0
