date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-23,Singapore,1,0,1,0,1,2020,1,23,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-24,Singapore,3,0,2,0,1,2020,1,24,4,0,1,0.0,,,1.5,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.2282632915905342e-05,0.0
2020-01-25,Singapore,3,0,0,0,1,2020,1,25,5,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-26,Singapore,4,0,1,0,1,2020,1,26,6,1,1,0.0,,,1.0,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-27,Singapore,5,0,1,0,1,2020,1,27,0,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-28,Singapore,7,0,2,0,1,2020,1,28,1,0,1,0.0,,,1.1666666666666667,0.0,1.3985172919670564e-06,0.0,2.5888292019933984e-05,0.0,0.0,,,1.7330936712370825e-05,0.0
2020-01-29,Singapore,7,0,0,0,1,2020,1,29,2,0,1,0.0,,,1.0,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-01-30,Singapore,10,0,3,0,1,2020,1,30,3,0,1,0.0,9.0,,1.2857142857142858,0.0,2.0977759379505848e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.04406089945976285,,1.909939964220458e-05,0.0
2020-01-31,Singapore,13,0,3,0,1,2020,1,31,4,0,1,0.0,3.333333333333333,,1.4285714285714286,0.0,2.797034583934113e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.018059355925068406,,2.122155515800509e-05,0.0
2020-02-01,Singapore,16,0,3,0,1,2020,2,1,5,1,1,0.0,4.333333333333333,,1.8571428571428572,0.0,3.4962932299176414e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.022647863607661547,,2.7588021705406618e-05,0.0
2020-02-02,Singapore,18,0,2,0,1,2020,2,2,6,1,1,0.0,3.5,,2.0,0.0,3.962465660573327e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.018824107205500595,,2.9710177221207126e-05,0.0
2020-02-03,Singapore,18,0,0,0,1,2020,2,3,0,0,1,0.0,2.6,,1.8571428571428572,0.0,3.962465660573327e-06,0.0,0.0,0.0,0.0,0.014694450291166773,,2.7588021705406618e-05,0.0
2020-02-04,Singapore,24,0,6,0,1,2020,2,4,1,0,1,0.0,2.4285714285714284,,2.4285714285714284,0.0,5.360982952540383e-06,0.0,7.766487605980195e-05,0.0,0.0,0.013907848974150806,,3.607664376860865e-05,0.0
2020-02-05,Singapore,28,0,4,0,1,2020,2,5,2,0,1,0.0,3.0,,3.0,0.0,6.293327813851755e-06,0.0,5.177658403986797e-05,0.0,0.0,0.01652985336420403,,4.4565265831810684e-05,0.0
2020-02-06,Singapore,28,0,0,0,1,2020,2,6,3,0,1,0.0,1.7999999999999998,,2.5714285714285716,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.01102364414509226,,3.819879928440916e-05,0.0
2020-02-07,Singapore,30,0,2,0,1,2020,2,7,4,0,1,0.0,1.3076923076923075,,2.4285714285714284,0.0,6.7595002445074395e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.008764686516738715,,3.607664376860865e-05,0.0
