date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-06,Slovakia,1,0,1,0,1,2020,3,6,4,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-07,Slovakia,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-08,Slovakia,3,0,2,0,1,2020,3,8,6,1,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-09,Slovakia,3,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-10,Slovakia,7,0,4,0,1,2020,3,10,1,0,1,0.0,,,1.4,0.0,1.3985172919670564e-06,0.0,5.177658403986797e-05,0.0,0.0,,,2.0797124054844987e-05,0.0
2020-03-11,Slovakia,10,0,3,0,1,2020,3,11,2,0,1,0.0,,,1.6666666666666667,0.0,2.0977759379505848e-06,0.0,3.8832438029900976e-05,0.0,0.0,,,2.4758481017672605e-05,0.0
2020-03-12,Slovakia,16,0,6,0,1,2020,3,12,3,0,1,0.0,,,2.2857142857142856,0.0,3.4962932299176414e-06,0.0,7.766487605980195e-05,0.0,0.0,,,3.395448825280814e-05,0.0
2020-03-13,Slovakia,32,0,16,0,1,2020,3,13,4,0,1,0.0,31.0,,4.428571428571429,0.0,7.225672675163125e-06,0.0,0.00020710633615947187,0.0,0.0,0.1450080684768119,,6.578682098981577e-05,0.0
2020-03-14,Slovakia,44,0,12,0,1,2020,3,14,5,1,1,0.0,43.0,,6.142857142857143,0.0,1.0022707259097238e-05,0.0,0.0001553297521196039,0.0,0.0,0.20007016066792957,,9.125268717942189e-05,0.0
2020-03-15,Slovakia,54,0,10,0,1,2020,3,15,6,1,1,0.0,17.0,,7.285714285714286,0.0,1.2353569412375666e-05,0.0,0.00012944146009966992,0.0,0.0,0.08076896092050798,,0.00010822993130582595,0.0
2020-03-16,Slovakia,63,0,9,0,1,2020,3,16,0,0,1,0.0,20.0,,8.571428571428571,0.0,1.445134535032625e-05,0.0,0.00011649731408970293,0.0,0.0,0.09453448396828738,,0.00012732933094803054,0.0
2020-03-17,Slovakia,72,0,9,0,1,2020,3,17,1,0,1,0.0,9.285714285714286,,9.285714285714286,0.0,1.6549121288276836e-05,0.0,0.00011649731408970293,0.0,0.0,0.04537190165478947,,0.0001379401085270331,0.0
2020-03-18,Slovakia,105,1,33,1,1,2020,3,18,2,0,1,0.009523809523809525,9.5,inf,13.571428571428571,0.14285714285714285,2.4240966394095646e-05,6.756254602698448e-06,0.00042715681832891075,0.0002572678157962439,0.009523809523809525,0.046355153301059424,,0.00020160477400104834,6.383657835939994e-05
