date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-05,Slovenia,2,0,2,0,1,2020,3,5,3,0,1,0.0,,,2.0,0.0,2.3308621532784276e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-03-06,Slovenia,7,0,5,0,1,2020,3,6,4,0,1,0.0,,,3.5,0.0,1.3985172919670564e-06,0.0,6.472073004983496e-05,0.0,0.0,,,5.199281013711247e-05,0.0
2020-03-07,Slovenia,7,0,0,0,1,2020,3,7,5,1,1,0.0,,,2.3333333333333335,0.0,1.3985172919670564e-06,0.0,0.0,0.0,0.0,,,3.466187342474165e-05,0.0
2020-03-08,Slovenia,16,0,9,0,1,2020,3,8,6,1,1,0.0,,,4.0,0.0,3.4962932299176414e-06,0.0,0.00011649731408970293,0.0,0.0,,,5.942035444241425e-05,0.0
2020-03-09,Slovenia,16,0,0,0,1,2020,3,9,0,0,1,0.0,,,3.2,0.0,3.4962932299176414e-06,0.0,0.0,0.0,0.0,,,4.75362835539314e-05,0.0
2020-03-10,Slovenia,31,0,15,0,1,2020,3,10,1,0,1,0.0,,,5.166666666666667,0.0,6.992586459835283e-06,0.0,0.0001941621901495049,0.0,0.0,,,7.675129115478508e-05,0.0
2020-03-11,Slovenia,57,0,26,0,1,2020,3,11,2,0,1,0.0,,,8.142857142857142,0.0,1.3052828058359194e-05,0.0,0.0003365477962591418,0.0,0.0,,,0.000120962864400629,0.0
2020-03-12,Slovenia,89,0,32,0,1,2020,3,12,3,0,1,0.0,43.5,,12.428571428571429,0.0,2.0511586948850164e-05,0.0,0.00041421267231894375,0.0,0.0,0.20236441450922613,,0.00018462752987464428,0.0
2020-03-13,Slovenia,141,0,52,0,1,2020,3,13,4,0,1,0.0,19.142857142857142,,19.142857142857142,0.0,3.263207014589798e-05,0.0,0.0006730955925182836,0.0,0.0,0.09060147738320755,,0.0002843688391172682,0.0
2020-03-14,Slovenia,181,1,40,1,1,2020,3,14,5,1,1,0.0055248618784530384,24.857142857142858,inf,24.857142857142858,0.14285714285714285,4.195551875901169e-05,6.756254602698448e-06,0.0005177658403986797,0.0002572678157962439,0.0055248618784530384,0.11682152128373978,,0.00036925505974928855,6.383657835939994e-05
