date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-05,South Africa,1,0,1,0,1,2020,3,5,3,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-06,South Africa,1,0,0,0,1,2020,3,6,4,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-07,South Africa,1,0,0,0,1,2020,3,7,5,1,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-08,South Africa,3,0,2,0,1,2020,3,8,6,1,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-09,South Africa,3,0,0,0,1,2020,3,9,0,0,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-10,South Africa,7,0,4,0,1,2020,3,10,1,0,1,0.0,,,1.1666666666666667,0.0,1.3985172919670564e-06,0.0,5.177658403986797e-05,0.0,0.0,,,1.7330936712370825e-05,0.0
2020-03-11,South Africa,13,0,6,0,1,2020,3,11,2,0,1,0.0,,,1.8571428571428572,0.0,2.797034583934113e-06,0.0,7.766487605980195e-05,0.0,0.0,,,2.7588021705406618e-05,0.0
2020-03-12,South Africa,17,0,4,0,1,2020,3,12,3,0,1,0.0,16.0,,2.2857142857142856,0.0,3.7293794452454842e-06,0.0,5.177658403986797e-05,0.0,0.0,0.07618045323791484,,3.395448825280814e-05,0.0
2020-03-13,South Africa,24,0,7,0,1,2020,3,13,4,0,1,0.0,23.0,,3.2857142857142856,0.0,5.360982952540383e-06,0.0,9.060902206976894e-05,0.0,0.0,0.1083000070160668,,4.88095768634117e-05,0.0
2020-03-14,South Africa,38,0,14,0,1,2020,3,14,5,1,1,0.0,37.0,,5.285714285714286,0.0,8.624189967130182e-06,0.0,0.0001812180441395379,0.0,0.0,0.17253911457237073,,7.851975408461883e-05,0.0
2020-03-15,South Africa,51,0,13,0,1,2020,3,15,6,1,1,0.0,16.0,,6.857142857142857,0.0,1.1654310766392138e-05,0.0,0.0001682738981295709,0.0,0.0,0.07618045323791484,,0.00010186346475842442,0.0
2020-03-16,South Africa,62,0,11,0,1,2020,3,16,0,0,1,0.0,19.666666666666668,,8.428571428571429,0.0,1.4218259134998409e-05,0.0,0.00014238560610963693,0.0,0.0,0.09300498140742301,,0.00012520717543223003,0.0
2020-03-17,South Africa,62,0,0,0,1,2020,3,17,1,0,1,0.0,7.857142857142858,,7.857142857142857,0.0,1.4218259134998409e-05,0.0,0.0,0.0,0.0,0.038816890679656414,,0.00011671855336902798,0.0
2020-03-18,South Africa,116,0,54,0,1,2020,3,18,2,0,1,0.0,7.923076923076923,,14.714285714285714,0.0,2.6804914762701916e-05,0.0,0.0006989838845382175,0.0,0.0,0.03911942964773948,,0.0002185820181274524,0.0
2020-03-19,South Africa,150,0,34,0,1,2020,3,19,3,0,1,0.0,7.8235294117647065,,19.0,0.0,3.472984608384857e-05,0.0,0.00044010096433887776,0.0,0.0,0.03866265512730034,,0.0002822466836014677,0.0
2020-03-20,South Africa,202,0,52,0,1,2020,3,20,4,0,1,0.0,7.416666666666666,,25.428571428571427,0.0,4.6850329280896393e-05,0.0,0.0006730955925182836,0.0,0.0,0.03679576229565705,,0.00037774368181249057,0.0
2020-03-21,South Africa,240,0,38,0,1,2020,3,21,5,1,1,0.0,5.315789473684211,,28.857142857142858,0.0,5.570760546335442e-05,0.0,0.0004918775483787457,0.0,0.0,0.027155871155472345,,0.0004286754141917028,0.0
2020-03-22,South Africa,274,0,34,0,1,2020,3,22,6,1,1,0.0,4.372549019607843,,31.857142857142858,0.0,6.363253678450107e-05,0.0,0.00044010096433887776,0.0,0.0,0.022827805085410297,,0.0004732406800235135,0.0
2020-03-23,South Africa,402,0,128,0,1,2020,3,23,0,0,1,0.0,5.483870967741935,,48.57142857142857,0.0,9.346757234646495e-05,0.0,0.001656850689275775,0.0,0.0,0.02792711438225795,,0.000721532875372173,0.0
2020-03-24,South Africa,554,0,152,0,1,2020,3,24,1,0,1,0.0,7.935483870967742,,70.28571428571429,0.0,0.00012889667707629705,0.0,0.0019675101935149827,0.0,0.0,0.03917635902345403,,0.0010441005137738506,0.0
2020-03-25,South Africa,709,0,155,0,1,2020,3,25,2,0,1,0.0,5.112068965517241,,84.71428571428571,0.0,0.00016502504045211267,0.0,0.002006342631544884,0.0,0.0,0.02622109803864643,,0.0012584382208697016,0.0
2020-03-26,South Africa,927,0,218,0,1,2020,3,26,3,0,1,0.0,5.18,,111.0,0.0,0.00021583783539358238,0.0,0.0028218238301728044,0.0,0.0,0.026532800112257067,,0.0016489148357769954,0.0
2020-03-27,South Africa,1170,1,243,1,1,2020,3,27,4,0,1,0.0008547008547008547,4.792079207920792,inf,138.28571428571428,0.14285714285714285,0.0002724777857182482,6.756254602698448e-06,0.0031454274804219792,0.0002572678157962439,0.0008547008547008547,0.024752822577564008,,0.0020542465392948926,6.383657835939994e-05
2020-03-28,South Africa,1187,1,17,0,1,2020,3,28,5,1,1,0.0008424599831508003,3.9458333333333337,inf,135.28571428571428,0.14285714285714285,0.0002764402513788215,6.756254602698448e-06,0.00022005048216943888,0.0,0.0008424599831508003,0.020869816880656707,,0.0020096812734630817,6.383657835939994e-05
2020-03-29,South Africa,1280,2,93,1,1,2020,3,29,6,1,1,0.0015625,3.671532846715328,inf,143.71428571428572,0.2857142857142857,0.0002981172694043109,1.3512509205396897e-05,0.0012038055789269303,0.0002572678157962439,0.0015625,0.019611186990470948,,0.002134888448895312,0.00012767315671879988
2020-03-30,South Africa,1326,3,46,1,1,2020,3,30,0,0,1,0.0022624434389140274,2.298507462686567,inf,132.0,0.42857142857142855,0.00030883923530939164,2.0268763808095344e-05,0.0005954307164584816,0.0002572678157962439,0.0022624434389140274,0.013311049467459587,,0.00196087169659967,0.0001915097350781998
2020-03-31,South Africa,1353,5,27,2,1,2020,3,31,1,0,1,0.003695491500369549,1.4422382671480145,inf,114.14285714285714,0.7142857142857143,0.0003151325631232434,3.378127301349224e-05,0.0003494919422691088,0.0005145356315924878,0.003695491500369549,0.009382051685363092,,0.0016956022571246066,0.00031918289179699974
2020-04-01,South Africa,1380,5,27,0,1,2020,4,1,2,0,2,0.0036231884057971015,0.9464033850493654,inf,95.85714285714286,0.7142857142857143,0.00032142589093709517,3.378127301349224e-05,0.0003494919422691088,0.0,0.0036231884057971015,0.0071069095195557775,,0.0014239663511021415,0.00031918289179699974
2020-04-02,South Africa,1462,5,82,0,1,2020,4,2,3,0,2,0.003419972640218878,0.5771305285868393,inf,76.42857142857143,0.7142857142857143,0.00034053896059397826,3.378127301349224e-05,0.0010614199728172934,0.0,0.003419972640218878,0.005412498180704364,,0.0011353532009532722,0.00031918289179699974
2020-04-03,South Africa,1505,9,43,4,1,2020,4,3,4,0,2,0.005980066445182724,0.2863247863247864,8.0,47.857142857142854,1.1428571428571428,0.0003505616678530755,6.080629142428603e-05,0.0005565982784285807,0.0010290712631849757,0.005980066445182724,0.0040781337981927335,0.0,0.0007109220977931705,0.0005106926268751995
2020-04-04,South Africa,1585,9,80,0,1,2020,4,4,5,1,2,0.0056782334384858045,0.3352990732940184,8.0,56.857142857142854,1.1428571428571428,0.00036920856507930295,6.080629142428603e-05,0.0010355316807973594,0.0,0.0056782334384858045,0.004302852690200576,0.0,0.0008446178952886025,0.0005106926268751995
2020-04-05,South Africa,1655,11,70,2,1,2020,4,5,6,1,2,0.006646525679758308,0.29296875,4.5,53.57142857142857,1.2857142857142858,0.00038552460015225194,7.431880062968293e-05,0.0009060902206976894,0.0005145356315924878,0.006646525679758308,0.004108619676559321,0.0,0.0007958083184251908,0.0005745292052345996
2020-04-06,South Africa,1686,12,31,1,1,2020,4,6,0,0,2,0.0071174377224199285,0.2714932126696832,3.0,51.42857142857143,1.2857142857142858,0.00039275027282741504,8.107505523238138e-05,0.00040126852630897674,0.0002572678157962439,0.0071174377224199285,0.004010079008531346,0.0,0.0007639759856881833,0.0005745292052345996
2020-04-07,South Africa,1749,13,63,1,1,2020,4,7,1,0,2,0.007432818753573471,0.29268292682926833,1.6,56.57142857142857,1.1428571428571428,0.00040743470439306913,8.783130983507983e-05,0.0008154811986279205,0.0002572678157962439,0.007432818753573471,0.004107308174744555,0.0,0.0008403735842570014,0.0005106926268751995
2020-04-08,South Africa,1845,18,96,5,1,2020,4,8,2,0,2,0.00975609756097561,0.3369565217391304,2.6,66.42857142857143,1.8571428571428572,0.00042981098106454203,0.00012161258284857206,0.0012426380169568312,0.0012863390789812194,0.00975609756097561,0.004310457905124474,0.0,0.0009868023148472368,0.0008298755186721993
2020-04-09,South Africa,1934,18,89,0,1,2020,4,9,3,0,2,0.009307135470527405,0.32284541723666216,2.6,67.42857142857143,1.8571428571428572,0.00045055565422872,0.00012161258284857206,0.0011520289948870623,0.0,0.009307135470527405,0.004245708993705024,0.0,0.0010016574034578403,0.0008298755186721993
2020-04-10,South Africa,2003,24,69,6,1,2020,4,10,4,0,2,0.011982026959560658,0.3308970099667774,1.6666666666666665,71.14285714285714,2.142857142857143,0.0004666386030863412,0.00016215011046476276,0.0008931460746877225,0.0015436068947774634,0.011982026959560658,0.004282653788804269,0.0,0.0010568334468686533,0.0009575486753909991
2020-04-11,South Africa,2028,25,25,1,1,2020,4,11,5,1,2,0.01232741617357002,0.2794952681388012,1.7777777777777777,63.285714285714285,2.2857142857142856,0.00047246575846953727,0.0001689063650674612,0.0003236036502491748,0.0002572678157962439,0.01232741617357002,0.004046796501527931,0.0,0.0009401148934996254,0.001021385253750399
2020-04-12,South Africa,2173,25,145,0,1,2020,4,12,6,1,2,0.01150483202945237,0.31299093655589116,1.272727272727273,74.0,2.0,0.0005062632596920744,0.0001689063650674612,0.001876901171445214,0.0,0.01150483202945237,0.004200491633393341,0.0,0.0010992765571846636,0.0008937120970315992
2020-04-13,South Africa,2272,27,99,2,1,2020,4,13,0,0,2,0.011883802816901408,0.3475682087781733,1.25,83.71428571428571,2.142857142857143,0.0005293387950095309,0.0001824188742728581,0.0012814704549867321,0.0005145356315924878,0.011883802816901408,0.004359149712628397,0.0,0.0012435831322590981,0.0009575486753909991
2020-04-14,South Africa,2415,27,143,0,1,2020,4,14,1,0,2,0.011180124223602485,0.38078902229845624,1.076923076923077,95.14285714285714,2.0,0.0005626701238014124,0.0001824188742728581,0.00185101287942528,0.0,0.011180124223602485,0.0045115836706882085,0.0,0.001413355573523139,0.0008937120970315992
2020-04-15,South Africa,2506,34,91,7,1,2020,4,15,2,0,2,0.013567438148443736,0.35826558265582653,0.8888888888888888,94.42857142857143,2.2857142857142856,0.0005838809693962461,0.00022971265649174725,0.0011779172869069963,0.0018008747105737071,0.013567438148443736,0.004408234694849579,0.0,0.0014027447959441364,0.001021385253750399
2020-04-16,South Africa,2605,48,99,14,1,2020,4,16,3,0,2,0.018426103646833013,0.3469493278179938,1.6666666666666665,95.85714285714286,4.285714285714286,0.0006069565047137025,0.0003243002209295255,0.0012814704549867321,0.0036017494211474143,0.018426103646833013,0.004356309972588002,0.0,0.0014239663511021415,0.0019150973507819982
2020-04-17,South Africa,2783,50,178,2,1,2020,4,17,4,0,2,0.017966223499820338,0.3894158761857214,1.0833333333333335,111.42857142857143,3.7142857142857144,0.0006484458510420585,0.0003378127301349224,0.0023040579897741246,0.0005145356315924878,0.017966223499820338,0.004551168056026534,0.0,0.001655281302324397,0.0016597510373443985
2020-04-18,South Africa,3034,52,251,2,1,2020,4,18,5,1,2,0.017139090309822018,0.4960552268244576,1.08,143.71428571428572,3.857142857142857,0.0007069504910893471,0.0003513252393403193,0.0032489806485017153,0.0005145356315924878,0.017139090309822018,0.005040483535699118,0.0,0.002134888448895312,0.0017235876157037984
2020-04-19,South Africa,3158,54,124,2,1,2020,4,19,6,1,2,0.017099430018999367,0.4532903819604235,1.1600000000000001,140.71428571428572,4.142857142857143,0.0007358531817899996,0.0003648377485457162,0.001605074105235907,0.0005145356315924878,0.017099430018999367,0.004844256716495594,0.0,0.0020903231830635013,0.0018512607724225985
2020-04-20,South Africa,3300,58,142,4,1,2020,4,20,0,0,2,0.017575757575757574,0.45246478873239426,1.1481481481481484,146.85714285714286,4.428571428571429,0.0007689514243665532,0.00039186276695651,0.0018380687334153128,0.0010290712631849757,0.017575757575757574,0.004840468475626085,0.0,0.002181575870242923,0.0019789339291413984
2020-04-21,South Africa,3465,58,165,0,1,2020,4,21,1,0,2,0.01673881673881674,0.4347826086956521,1.1481481481481484,150.0,4.428571428571429,0.0008074106498956473,0.00039186276695651,0.002135784091644554,0.0,0.01673881673881674,0.0047593336566824984,0.0,0.002228263291590534,0.0019789339291413984
2020-04-22,South Africa,3635,65,170,7,1,2020,4,22,2,0,2,0.017881705639614855,0.45051875498802874,0.911764705882353,161.28571428571428,4.428571428571429,0.0008470353065013806,0.0004391565491753991,0.0022005048216943886,0.0018008747105737071,0.017881705639614855,0.0048315390848394785,0.0,0.0023959135773387744,0.0019789339291413984
2020-04-23,South Africa,3953,75,318,10,1,2020,4,23,3,0,2,0.018972931950417403,0.5174664107485605,0.5625,192.57142857142858,3.857142857142857,0.0009211567229756346,0.0005067190952023836,0.004116238431169503,0.002572678157962439,0.018972931950417403,0.0051387289176282784,0.0,0.002860665635299086,0.0017235876157037984
2020-04-24,South Africa,4220,79,267,4,1,2020,4,24,4,0,2,0.01872037914691943,0.5163492633848366,0.5800000000000001,205.28571428571428,4.142857142857143,0.0009833907424681685,0.0005337441136131774,0.003456086984661187,0.0010290712631849757,0.01872037914691943,0.005133602878367243,0.0,0.003049537476205331,0.0018512607724225985
2020-04-25,South Africa,4361,86,141,7,1,2020,4,25,5,1,2,0.019720247649621648,0.437376400791035,0.6538461538461537,189.57142857142858,4.857142857142857,0.0010162558988293944,0.0005810378958320666,0.001825124587405346,0.0018008747105737071,0.019720247649621648,0.004771235291639212,0.0,0.0028161003694672756,0.002170443664219598
2020-04-26,South Africa,4546,87,185,1,1,2020,4,26,6,1,2,0.01913770347558293,0.43951868271057637,0.6111111111111112,198.28571428571428,4.714285714285714,0.0010593768486650453,0.000587794150434765,0.0023946670118438936,0.0002572678157962439,0.01913770347558293,0.004781065168685308,0.0,0.002945551855931106,0.002106607085860198
2020-04-27,South Africa,4793,90,247,3,1,2020,4,27,0,0,2,0.018777383684539954,0.4524242424242424,0.5517241379310345,213.28571428571428,4.571428571428571,0.0011169491438510226,0.0006080629142428604,0.0031972040644618472,0.0007718034473887317,0.018777383684539954,0.004840282428579629,0.0,0.0031683781850901597,0.002042770507500798
2020-04-28,South Africa,4996,93,203,3,1,2020,4,28,1,0,2,0.018614891913530825,0.44184704184704193,0.603448275862069,218.71428571428572,5.0,0.0011642656455625746,0.0006283316780509556,0.0026276616400232994,0.0007718034473887317,0.018614891913530825,0.004791748862470816,0.0,0.003249020094690579,0.002234280242578998
2020-04-29,South Africa,5350,103,354,10,1,2020,4,29,2,0,2,0.01925233644859813,0.47180192572214574,0.5846153846153845,245.0,5.428571428571429,0.001246778165788631,0.0006958942240779402,0.004582227687528315,0.002572678157962439,0.01925233644859813,0.004929197077262915,0.0,0.003639496709597873,0.002425789977657198
2020-04-30,South Africa,5647,103,297,0,1,2020,4,30,3,0,2,0.0182397733309722,0.4285352896534278,0.3733333333333333,242.0,4.0,0.0013160047717410003,0.0006958942240779402,0.003844411364960197,0.0,0.0182397733309722,0.004730667785261641,0.0,0.003594931443766062,0.0017874241940631984
2020-05-01,South Africa,5951,116,304,13,1,2020,5,1,4,0,2,0.01949252226516552,0.41018957345971563,0.4683544303797469,247.28571428571428,5.285714285714286,0.0013868629812006643,0.00078372553391302,0.003935020387029965,0.0033444816053511705,0.01949252226516552,0.00464648832556412,0.0,0.0036734511978506806,0.002361953399297798
2020-05-02,South Africa,6336,123,385,7,1,2020,5,2,5,1,2,0.019412878787878788,0.45287778032561343,0.430232558139535,282.14285714285717,5.285714285714286,0.0014766011741018839,0.0008310193161319091,0.004983496213837292,0.0018008747105737071,0.019412878787878788,0.004842363490724417,0.0,0.004191257143706006,0.002361953399297798
2020-05-03,South Africa,6783,131,447,8,1,2020,5,3,6,1,2,0.01931298835323603,0.49208095028596577,0.5057471264367817,319.57142857142856,6.285714285714286,0.0015807907123534296,0.0008850693529534967,0.005786033266455245,0.0020581425263699513,0.01931298835323603,0.0050222475372694985,0.0,0.004747261888845738,0.002808809447813597
2020-05-04,South Africa,7220,138,437,7,1,2020,5,4,0,0,2,0.019113573407202215,0.5063634466930942,0.5333333333333334,346.7142857142857,6.857142857142857,0.0016826493884516968,0.0009323631351723858,0.005656591806355576,0.0018008747105737071,0.019113573407202215,0.005087782881760216,0.0,0.005150471436847835,0.003064155761251197
2020-05-05,South Africa,7572,148,352,10,1,2020,5,5,1,0,2,0.01954569466455362,0.5156124899919936,0.5913978494623655,368.0,7.857142857142857,0.0017646957362470975,0.0009999256811993704,0.004556339395508382,0.002572678157962439,0.01954569466455362,0.0051302221879938525,0.0,0.005466672608702111,0.0035110118097669966
2020-05-06,South Africa,7808,153,236,5,1,2020,5,6,2,0,2,0.0195952868852459,0.45943925233644856,0.4854368932038835,351.14285714285717,7.142857142857143,0.0018197040830644684,0.0010337069542128625,0.0030548184583522103,0.0012863390789812194,0.0195952868852459,0.004872470855455254,0.0,0.005216258257837651,0.003191828917969997
2020-05-07,South Africa,8232,161,424,8,1,2020,5,7,3,0,2,0.0195578231292517,0.457765185054011,0.5631067961165048,369.2857142857143,8.285714285714286,0.0019185326383634738,0.00108775699103445,0.005488317908226005,0.0020581425263699513,0.0195578231292517,0.004864789384868611,0.0,0.0054857720083443156,0.003702521544845197
2020-05-08,South Africa,8895,178,663,17,1,2020,5,8,4,0,2,0.02001124227093873,0.49470677197109736,0.5344827586206897,420.57142857142856,8.857142857142858,0.0020730687991258336,0.0012026133192803237,0.008581968804608117,0.004373552868536146,0.02001124227093873,0.005034296140244844,0.0,0.006247625838516698,0.003957867858282797
2020-05-09,South Africa,9420,186,525,8,1,2020,5,9,5,1,2,0.019745222929936305,0.4867424242424243,0.5121951219512195,440.57142857142856,9.0,0.002195439062172951,0.0012566633561019113,0.006795676655232671,0.0020581425263699513,0.019745222929936305,0.004997751669504985,0.0,0.006544727610728769,0.0040217044366421964
2020-05-10,South Africa,10015,194,595,8,1,2020,5,10,6,1,2,0.019370943584623067,0.47648533097449497,0.48091603053435117,461.7142857142857,9.0,0.0023341253602930175,0.0013107133929234989,0.007701766875930361,0.0020581425263699513,0.019370943584623067,0.0049506869182440166,0.0,0.006858806627067245,0.0040217044366421964
2020-05-11,South Africa,10652,206,637,12,1,2020,5,11,0,0,2,0.019339091250469394,0.4753462603878116,0.49275362318840576,490.2857142857143,9.714285714285714,0.002482601279456853,0.0013917884481558804,0.008245421008348974,0.0030872137895549268,0.019339091250469394,0.004945460284106004,0.0,0.007283237730227346,0.004340887328439196
2020-05-12,South Africa,11350,206,698,0,1,2020,5,12,1,0,2,0.018149779735682818,0.4989434759640783,0.3918918918918919,539.7142857142857,8.285714285714286,0.0026452954577556873,0.0013917884481558804,0.00903501391495696,0.0,0.018149779735682818,0.005053736289065511,0.0,0.008017503538694322,0.003702521544845197
2020-05-13,South Africa,12074,219,724,13,1,2020,5,13,2,0,2,0.01813814808679808,0.5463627049180328,0.43137254901960786,609.4285714285714,9.428571428571429,0.0028140498776530456,0.00147961975799096,0.009371561711216102,0.0033444816053511705,0.01813814808679808,0.005271319785423374,0.0,0.00905311543040497,0.004213214171720396
2020-05-14,South Africa,12739,238,665,19,1,2020,5,14,3,0,2,0.0186827851479708,0.5474975704567542,0.4782608695652173,643.8571428571429,11.0,0.002969052210846061,0.0016079885954422305,0.00860785709662805,0.004888088500128634,0.0186827851479708,0.005276527124666507,0.0,0.009564554909712895,0.004915416533673796
