date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-01-22,South Korea,1,0,0,0,1,2020,1,22,2,0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2020-01-23,South Korea,1,0,0,0,1,2020,1,23,3,0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2020-01-24,South Korea,2,0,1,0,1,2020,1,24,4,0,1,0.0,,,0.3333333333333333,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,4.95169620353452e-06,0.0
2020-01-25,South Korea,2,0,0,0,1,2020,1,25,5,1,1,0.0,,,0.25,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,3.7137721526508907e-06,0.0
2020-01-26,South Korea,3,0,1,0,1,2020,1,26,6,1,1,0.0,,,0.4,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,5.942035444241425e-06,0.0
2020-01-27,South Korea,4,0,1,0,1,2020,1,27,0,0,1,0.0,,,0.5,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-01-28,South Korea,4,0,0,0,1,2020,1,28,1,0,1,0.0,,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-01-29,South Korea,4,0,0,0,1,2020,1,29,2,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-01-30,South Korea,4,0,0,0,1,2020,1,30,3,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-01-31,South Korea,11,0,7,0,1,2020,1,31,4,0,1,0.0,4.5,,1.2857142857142858,0.0,2.3308621532784276e-06,0.0,9.060902206976894e-05,0.0,0.0,0.023412614888093732,,1.909939964220458e-05,0.0
2020-02-01,South Korea,12,0,1,0,1,2020,2,1,5,1,1,0.0,5.0,,1.4285714285714286,0.0,2.5639483686062704e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.025706868729390302,,2.122155515800509e-05,0.0
2020-02-02,South Korea,15,0,3,0,1,2020,2,2,6,1,1,0.0,4.0,,1.7142857142857142,0.0,3.2632070145897985e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.021118361046797166,,2.5465866189606106e-05,0.0
2020-02-03,South Korea,15,0,0,0,1,2020,2,3,0,0,1,0.0,2.75,,1.5714285714285714,0.0,3.2632070145897985e-06,0.0,0.0,0.0,0.0,0.015382726443555744,,2.3343710673805598e-05,0.0
2020-02-04,South Korea,16,0,1,0,1,2020,2,4,1,0,1,0.0,3.0,,1.7142857142857142,0.0,3.4962932299176414e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,2.5465866189606106e-05,0.0
2020-02-05,South Korea,19,0,3,0,1,2020,2,5,2,0,1,0.0,3.75,,2.142857142857143,0.0,4.1955518759011695e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.01997123412614888,,3.1832332737007634e-05,0.0
2020-02-06,South Korea,23,0,4,0,1,2020,2,6,3,0,1,0.0,4.75,,2.7142857142857144,0.0,5.127896737212541e-06,0.0,5.177658403986797e-05,0.0,0.0,0.024559741808742017,,4.0320954800209674e-05,0.0
2020-02-07,South Korea,24,0,1,0,1,2020,2,7,4,0,1,0.0,1.1818181818181817,,1.8571428571428572,0.0,5.360982952540383e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.008187112123125593,,2.7588021705406618e-05,0.0
2020-02-08,South Korea,24,0,0,0,1,2020,2,8,5,1,1,0.0,1.0,,1.7142857142857142,0.0,5.360982952540383e-06,0.0,0.0,0.0,0.0,0.0073528379990177506,,2.5465866189606106e-05,0.0
2020-02-09,South Korea,25,0,1,0,1,2020,2,9,6,1,1,0.0,0.6666666666666667,,1.4285714285714286,0.0,5.594069167868226e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.005823335438153372,,2.122155515800509e-05,0.0
2020-02-10,South Korea,27,0,2,0,1,2020,2,10,0,0,1,0.0,0.8,,1.7142857142857142,0.0,6.060241598523911e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.006435136462499123,,2.5465866189606106e-05,0.0
2020-02-11,South Korea,28,0,1,0,1,2020,2,11,1,0,1,0.0,0.75,,1.7142857142857142,0.0,6.293327813851755e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.006205711078369466,,2.5465866189606106e-05,0.0
2020-02-12,South Korea,28,0,0,0,1,2020,2,12,2,0,1,0.0,0.4736842105263157,,1.2857142857142858,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.004937833955547677,,1.909939964220458e-05,0.0
2020-02-13,South Korea,28,0,0,0,1,2020,2,13,3,0,1,0.0,0.21739130434782616,,0.7142857142857143,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.003761831986553556,,1.0610777579002545e-05,0.0
2020-02-14,South Korea,28,0,0,0,1,2020,2,14,4,0,1,0.0,0.16666666666666674,,0.5714285714285714,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.0035290815968568026,,8.488622063202035e-06,0.0
2020-02-15,South Korea,28,0,0,0,1,2020,2,15,5,1,1,0.0,0.16666666666666674,,0.5714285714285714,0.0,6.293327813851755e-06,0.0,0.0,0.0,0.0,0.0035290815968568026,,8.488622063202035e-06,0.0
2020-02-16,South Korea,29,0,1,0,1,2020,2,16,6,1,1,0.0,0.15999999999999992,,0.5714285714285714,0.0,6.526414029179597e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0034984915456395143,,8.488622063202035e-06,0.0
2020-02-17,South Korea,30,0,1,0,1,2020,2,17,0,0,1,0.0,0.11111111111111116,,0.42857142857142855,0.0,6.7595002445074395e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.003274164503379406,,6.3664665474015265e-06,0.0
2020-02-18,South Korea,31,0,1,0,1,2020,2,18,1,0,1,0.0,0.1071428571428572,,0.42857142857142855,0.0,6.992586459835283e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.0032559561395595917,,6.3664665474015265e-06,0.0
2020-02-19,South Korea,31,0,0,0,1,2020,2,19,2,0,1,0.0,0.1071428571428572,,0.42857142857142855,0.0,6.992586459835283e-06,0.0,0.0,0.0,0.0,0.0032559561395595917,,6.3664665474015265e-06,0.0
2020-02-20,South Korea,104,1,73,1,1,2020,2,20,3,0,1,0.009615384615384616,2.7142857142857144,inf,10.857142857142858,0.14285714285714285,2.4007880178767804e-05,6.756254602698448e-06,0.0009449226587275904,0.0002572678157962439,0.009615384615384616,0.015218851169177417,,0.0001612838192008387,6.383657835939994e-05
2020-02-21,South Korea,204,2,100,1,1,2020,2,21,4,0,1,0.00980392156862745,6.285714285714286,inf,25.142857142857142,0.2857142857142857,4.7316501711552077e-05,1.3512509205396897e-05,0.0012944146009966993,0.0002572678157962439,0.00980392156862745,0.03160637860701006,,0.00037349937078088956,0.00012767315671879988
2020-02-22,South Korea,433,2,229,0,1,2020,2,22,5,1,1,0.004618937644341801,14.464285714285714,inf,57.857142857142854,0.2857142857142857,0.00010069324502162807,1.3512509205396897e-05,0.0029642094362824414,0.0,0.004618937644341801,0.06913381643964679,,0.000859472983899206,0.00012767315671879988
2020-02-23,South Korea,602,6,169,4,1,2020,2,23,6,1,1,0.009966777408637873,19.75862068965517,inf,81.85714285714286,0.8571428571428571,0.0001400848154120335,4.053752761619069e-05,0.002187560675684422,0.0010290712631849757,0.009966777408637873,0.09342691314835111,,0.0012159951105536917,0.0003830194701563996
2020-02-24,South Korea,833,8,231,2,1,2020,2,24,0,0,1,0.009603841536614645,26.766666666666666,inf,114.71428571428571,1.1428571428571428,0.00019392773115276516,5.405003682158759e-05,0.002990097728302375,0.0005145356315924878,0.009603841536614645,0.12558338595383428,,0.0017040908791878086,0.0005106926268751995
2020-02-25,South Korea,977,10,144,2,1,2020,2,25,1,0,1,0.01023541453428864,30.516129032258064,inf,135.14285714285714,1.4285714285714286,0.00022749214615997454,6.756254602698448e-05,0.0018639570254352469,0.0005145356315924878,0.01023541453428864,0.14278782282394425,,0.002007559117947281,0.0006383657835939995
2020-02-26,South Korea,1261,12,284,2,1,2020,2,26,2,0,1,0.00951625693893735,39.67741935483871,inf,175.71428571428572,1.7142857142857142,0.00029368863131308185,8.107505523238138e-05,0.0036761374668306257,0.0005145356315924878,0.00951625693893735,0.18482447385157172,,0.002610251284434626,0.0007660389403127992
