date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-04-05,South Sudan,1,0,1,0,1,2020,4,5,6,1,2,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-04-06,South Sudan,1,0,0,0,1,2020,4,6,0,0,2,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-04-07,South Sudan,2,0,1,0,1,2020,4,7,1,0,2,0.0,,,0.6666666666666666,0.0,2.3308621532784276e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-04-08,South Sudan,2,0,0,0,1,2020,4,8,2,0,2,0.0,,,0.5,0.0,2.3308621532784276e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-04-09,South Sudan,3,0,1,0,1,2020,4,9,3,0,2,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,8.913053166362137e-06,0.0
2020-04-10,South Sudan,4,0,1,0,1,2020,4,10,4,0,2,0.0,,,0.6666666666666666,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,,,9.90339240706904e-06,0.0
2020-04-11,South Sudan,4,0,0,0,1,2020,4,11,5,1,2,0.0,,,0.5714285714285714,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,,,8.488622063202035e-06,0.0
2020-04-12,South Sudan,4,0,0,0,1,2020,4,12,6,1,2,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-04-13,South Sudan,4,0,0,0,1,2020,4,13,0,0,2,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-04-14,South Sudan,4,0,0,0,1,2020,4,14,1,0,2,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-04-15,South Sudan,4,0,0,0,1,2020,4,15,2,0,2,0.0,1.0,,0.2857142857142857,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0073528379990177506,,4.244311031601017e-06,0.0
2020-04-16,South Sudan,4,0,0,0,1,2020,4,16,3,0,2,0.0,0.33333333333333326,,0.14285714285714285,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0042938328772889915,,2.1221555158005087e-06,0.0
2020-04-17,South Sudan,4,0,0,0,1,2020,4,17,4,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-18,South Sudan,4,0,0,0,1,2020,4,18,5,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-19,South Sudan,4,0,0,0,1,2020,4,19,6,1,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-20,South Sudan,4,0,0,0,1,2020,4,20,0,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-21,South Sudan,4,0,0,0,1,2020,4,21,1,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-22,South Sudan,4,0,0,0,1,2020,4,22,2,0,2,0.0,0.0,,0.0,0.0,6.992586459835282e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-23,South Sudan,5,0,1,0,1,2020,4,23,3,0,2,0.0,0.25,,0.14285714285714285,0.0,9.323448613113711e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.003911457237072897,,2.1221555158005087e-06,0.0
2020-04-24,South Sudan,5,0,0,0,1,2020,4,24,4,0,2,0.0,0.25,,0.14285714285714285,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.003911457237072897,,2.1221555158005087e-06,0.0
2020-04-25,South Sudan,5,0,0,0,1,2020,4,25,5,1,2,0.0,0.25,,0.14285714285714285,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,0.003911457237072897,,2.1221555158005087e-06,0.0
2020-04-26,South Sudan,6,0,1,0,1,2020,4,26,6,1,2,0.0,0.5,,0.2857142857142857,0.0,1.1654310766392138e-06,0.0,1.2944146009966992e-05,0.0,0.0,0.005058584157721181,,4.244311031601017e-06,0.0
