date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-13,Sudan,1,1,1,1,1,2020,3,13,4,0,1,1.0,,,1.0,1.0,0.0,6.756254602698448e-06,1.2944146009966992e-05,0.0002572678157962439,1.0,,,1.4855088610603563e-05,0.0004468560485157996
2020-03-14,Sudan,1,1,0,0,1,2020,3,14,5,1,1,1.0,,,0.5,0.5,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,7.4275443053017815e-06,0.0002234280242578998
2020-03-15,Sudan,1,1,0,0,1,2020,3,15,6,1,1,1.0,,,0.3333333333333333,0.3333333333333333,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,4.95169620353452e-06,0.0001489520161719332
2020-03-16,Sudan,1,1,0,0,1,2020,3,16,0,0,1,1.0,,,0.25,0.25,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,3.7137721526508907e-06,0.0001117140121289499
2020-03-17,Sudan,1,1,0,0,1,2020,3,17,1,0,1,1.0,,,0.2,0.2,0.0,6.756254602698448e-06,0.0,0.0,1.0,,,2.9710177221207125e-06,8.937120970315993e-05
2020-03-18,Sudan,2,1,1,0,1,2020,3,18,2,0,1,0.5,,,0.3333333333333333,0.16666666666666666,2.3308621532784276e-07,6.756254602698448e-06,1.2944146009966992e-05,0.0,0.5,,,4.95169620353452e-06,7.44760080859666e-05
2020-03-19,Sudan,2,1,0,0,1,2020,3,19,3,0,1,0.5,,,0.2857142857142857,0.14285714285714285,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,,,4.244311031601017e-06,6.383657835939994e-05
2020-03-20,Sudan,2,1,0,0,1,2020,3,20,4,0,1,0.5,1.0,0.0,0.14285714285714285,0.0,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,0.0073528379990177506,0.0,2.1221555158005087e-06,0.0
2020-03-21,Sudan,2,1,0,0,1,2020,3,21,5,1,1,0.5,1.0,0.0,0.14285714285714285,0.0,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,0.0073528379990177506,0.0,2.1221555158005087e-06,0.0
2020-03-22,Sudan,2,1,0,0,1,2020,3,22,6,1,1,0.5,1.0,0.0,0.14285714285714285,0.0,2.3308621532784276e-07,6.756254602698448e-06,0.0,0.0,0.5,0.0073528379990177506,0.0,2.1221555158005087e-06,0.0
