date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-25,Switzerland,1,0,1,0,1,2020,2,25,1,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-26,Switzerland,1,0,0,0,1,2020,2,26,2,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-27,Switzerland,8,0,7,0,1,2020,2,27,3,0,1,0.0,,,2.6666666666666665,0.0,1.6316035072948993e-06,0.0,9.060902206976894e-05,0.0,0.0,,,3.961356962827616e-05,0.0
2020-02-28,Switzerland,8,0,0,0,1,2020,2,28,4,0,1,0.0,,,2.0,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,,,2.9710177221207126e-05,0.0
2020-02-29,Switzerland,18,0,10,0,1,2020,2,29,5,1,1,0.0,,,3.6,0.0,3.962465660573327e-06,0.0,0.00012944146009966992,0.0,0.0,,,5.3478318998172826e-05,0.0
2020-03-01,Switzerland,27,0,9,0,1,2020,3,1,6,1,1,0.0,,,4.5,0.0,6.060241598523911e-06,0.0,0.00011649731408970293,0.0,0.0,,,6.684789874771603e-05,0.0
2020-03-02,Switzerland,42,0,15,0,1,2020,3,2,0,0,1,0.0,,,6.0,0.0,9.556534828441554e-06,0.0,0.0001941621901495049,0.0,0.0,,,8.913053166362137e-05,0.0
2020-03-03,Switzerland,56,0,14,0,1,2020,3,3,1,0,1,0.0,55.0,,7.857142857142857,0.0,1.2819741843031351e-05,0.0,0.0001812180441395379,0.0,0.0,0.2551322528590472,,0.00011671855336902798,0.0
2020-03-04,Switzerland,90,0,34,0,1,2020,3,4,2,0,1,0.0,89.0,,12.714285714285714,0.0,2.0744673164178005e-05,0.0,0.00044010096433887776,0.0,0.0,0.41114151406721394,,0.00018887184090624529,0.0
2020-03-05,Switzerland,114,1,24,1,1,2020,3,5,3,0,1,0.008771929824561403,13.25,inf,15.142857142857142,0.14285714285714285,2.633874233204623e-05,6.756254602698448e-06,0.0003106595042392078,0.0002572678157962439,0.008771929824561403,0.06356205711078369,,0.00022494848467485392,6.383657835939994e-05
2020-03-06,Switzerland,214,1,100,0,1,2020,3,6,4,0,1,0.004672897196261682,25.75,inf,29.428571428571427,0.14285714285714285,4.9647363864830506e-05,6.756254602698448e-06,0.0012944146009966993,0.0,0.004672897196261682,0.12091840314319793,,0.0004371640362549048,6.383657835939994e-05
2020-03-07,Switzerland,268,1,54,0,1,2020,3,7,5,1,1,0.0037313432835820895,13.88888888888889,inf,35.714285714285715,0.14285714285714285,6.223401949253401e-05,6.756254602698448e-06,0.0006989838845382175,0.0,0.0037313432835820895,0.06649360368577376,,0.0005305388789501272,6.383657835939994e-05
2020-03-08,Switzerland,337,2,69,1,1,2020,3,8,6,1,1,0.005934718100890208,11.481481481481481,inf,44.285714285714285,0.2857142857142857,7.831696835015516e-05,1.3512509205396897e-05,0.0008931460746877225,0.0002572678157962439,0.005934718100890208,0.05544719630175323,,0.0006578682098981577,0.00012767315671879988
2020-03-09,Switzerland,374,2,37,0,1,2020,3,9,0,0,1,0.0053475935828877,7.904761904761905,inf,47.42857142857143,0.2857142857142857,8.694115831728535e-05,1.3512509205396897e-05,0.0004789334023687787,0.0,0.0053475935828877,0.03903539104549418,,0.000704555631245769,0.00012767315671879988
2020-03-10,Switzerland,491,3,117,1,1,2020,3,10,1,0,1,0.006109979633401222,7.767857142857142,inf,62.142857142857146,0.42857142857142855,0.00011421224551064295,2.0268763808095344e-05,0.001514465083166138,0.0002572678157962439,0.006109979633401222,0.038407202493710595,,0.0009231376493732214,0.0001915097350781998
2020-03-11,Switzerland,652,4,161,1,1,2020,3,11,2,0,1,0.006134969325153374,6.2444444444444445,inf,80.28571428571429,0.5714285714285714,0.00015173912617842564,2.7025018410793794e-05,0.002084007507604686,0.0002572678157962439,0.006134969325153374,0.03141701162328399,,0.001192651399879886,0.00025534631343759976
2020-03-12,Switzerland,652,4,0,0,1,2020,3,12,3,0,1,0.006134969325153374,4.719298245614035,3.0,76.85714285714286,0.42857142857142855,0.00015173912617842564,2.7025018410793794e-05,0.0,0.0,0.006134969325153374,0.024418866572872934,0.0,0.001141719667500674,0.0001915097350781998
2020-03-13,Switzerland,1139,11,487,7,1,2020,3,13,4,0,1,0.009657594381035996,4.322429906542056,10.0,132.14285714285714,1.4285714285714286,0.00026525211304308504,7.431880062968293e-05,0.006303799106853926,0.0018008747105737071,0.009657594381035996,0.022597833150063182,0.0,0.0019629938521154707,0.0006383657835939995
2020-03-14,Switzerland,1359,13,220,2,1,2020,3,14,5,1,1,0.009565857247976454,4.07089552238806,12.0,155.85714285714286,1.7142857142857142,0.00031653108041521046,8.783130983507983e-05,0.002847712122192738,0.0005145356315924878,0.009565857247976454,0.021443665695936233,0.0,0.0023152716677383553,0.0007660389403127992
2020-03-15,Switzerland,2200,14,841,1,1,2020,3,15,6,1,1,0.006363636363636364,5.528189910979228,6.0,266.14285714285717,1.7142857142857142,0.0005125565875059262,9.458756443777828e-05,0.01088602679438224,0.0002572678157962439,0.006363636363636364,0.02813047219378668,0.0,0.003953575725936348,0.0007660389403127992
2020-03-16,Switzerland,2200,14,0,0,1,2020,3,16,0,0,1,0.006363636363636364,4.882352941176471,6.0,260.85714285714283,1.7142857142857142,0.0005125565875059262,9.458756443777828e-05,0.0,0.0,0.006363636363636364,0.025167044296144053,0.0,0.003875055971851729,0.0007660389403127992
2020-03-17,Switzerland,2700,27,500,13,1,2020,3,17,1,0,1,0.01,4.4989816700611,8.0,315.57142857142856,3.4285714285714284,0.0006290996951698476,0.0001824188742728581,0.006472073004983496,0.0033444816053511705,0.01,0.023407942273345677,0.0,0.0046878415344033236,0.0015320778806255984
2020-03-18,Switzerland,3028,28,328,1,1,2020,3,18,2,0,1,0.009247027741083224,3.6441717791411046,6.0,339.42857142857144,3.4285714285714284,0.00070555197379738,0.00018917512887555655,0.0042456798912691735,0.0002572678157962439,0.009247027741083224,0.01948564052170268,0.0,0.0050422415055420096,0.0015320778806255984
2020-03-19,Switzerland,4075,41,1047,13,1,2020,3,19,3,0,1,0.010061349693251533,5.25,9.25,489.0,5.285714285714286,0.0009495932412456314,0.0002770064387106364,0.013552520872435442,0.0033444816053511705,0.010061349693251533,0.026853995650038587,0.0,0.007264138330585142,0.002361953399297798
2020-03-20,Switzerland,5294,54,1219,13,1,2020,3,20,4,0,1,0.010200226671703816,3.6479367866549604,3.909090909090909,593.5714285714286,6.142857142857143,0.0012337253377302717,0.0003648377485457162,0.015778913986149765,0.0033444816053511705,0.010200226671703816,0.019502916287605025,0.0,0.008817556168151114,0.0027449728694541975
2020-03-21,Switzerland,6575,75,1281,21,1,2020,3,21,5,1,1,0.011406844106463879,3.838116261957322,4.769230769230769,745.1428571428571,8.857142857142858,0.0015323087795652383,0.0005067190952023836,0.01658145103876772,0.005402624131721122,0.011406844106463879,0.020375556271101443,0.0,0.011069163170415454,0.003957867858282797
2020-03-22,Switzerland,7474,98,899,23,1,2020,3,22,6,1,1,0.013112122023013113,2.3972727272727274,6.0,753.4285714285714,12.0,0.0017418532871449688,0.0006621129510644479,0.011636787262960326,0.005917159763313609,0.013112122023013113,0.013764234642786527,0.0,0.011192248190331884,0.0053622725821895955
