date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-22,Syria,1,0,1,0,1,2020,3,22,6,1,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-23,Syria,1,0,0,0,1,2020,3,23,0,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-24,Syria,1,0,0,0,1,2020,3,24,1,0,1,0.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,4.95169620353452e-06,0.0
2020-03-25,Syria,5,0,4,0,1,2020,3,25,2,0,1,0.0,,,1.25,0.0,9.323448613113711e-07,0.0,5.177658403986797e-05,0.0,0.0,,,1.856886076325445e-05,0.0
2020-03-26,Syria,5,0,0,0,1,2020,3,26,3,0,1,0.0,,,1.0,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-03-27,Syria,5,0,0,0,1,2020,3,27,4,0,1,0.0,,,0.8333333333333334,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.2379240508836303e-05,0.0
2020-03-28,Syria,5,0,0,0,1,2020,3,28,5,1,1,0.0,,,0.7142857142857143,0.0,9.323448613113711e-07,0.0,0.0,0.0,0.0,,,1.0610777579002545e-05,0.0
2020-03-29,Syria,9,1,4,1,1,2020,3,29,6,1,1,0.1111111111111111,8.0,inf,1.1428571428571428,0.14285714285714285,1.8646897226227421e-06,6.756254602698448e-06,5.177658403986797e-05,0.0002572678157962439,0.1111111111111111,0.03947239177716972,,1.697724412640407e-05,6.383657835939994e-05
2020-03-30,Syria,10,2,1,1,1,2020,3,30,0,0,1,0.2,9.0,inf,1.2857142857142858,0.2857142857142857,2.0977759379505848e-06,1.3512509205396897e-05,1.2944146009966992e-05,0.0002572678157962439,0.2,0.04406089945976285,,1.909939964220458e-05,0.00012767315671879988
2020-03-31,Syria,10,2,0,0,1,2020,3,31,1,0,1,0.2,9.0,inf,1.2857142857142858,0.2857142857142857,2.0977759379505848e-06,1.3512509205396897e-05,0.0,0.0,0.2,0.04406089945976285,,1.909939964220458e-05,0.00012767315671879988
2020-04-01,Syria,10,2,0,0,1,2020,4,1,2,0,2,0.2,1.0,inf,0.7142857142857143,0.2857142857142857,2.0977759379505848e-06,1.3512509205396897e-05,0.0,0.0,0.2,0.0073528379990177506,,1.0610777579002545e-05,0.00012767315671879988
