Feature,Importance
new_cases_normalized,0.9966619250039187
new_deaths_ma7,0.0030775863335790114
new_cases_ma7,0.0001218494164575189
mortality_rate_normalized,8.046689850950008e-05
new_cases_ma7_normalized,5.7205011631688944e-05
deaths_growth_rate_7d,2.3842139159974973e-07
total_cases,1.4383478034483703e-07
day,1.3913411979412345e-07
total_deaths,9.55125984594171e-08
cases_growth_rate_7d_normalized,8.719554450476331e-08
cases_growth_rate_7d,7.269815248637238e-08
total_deaths_normalized,4.671314419371816e-08
day_of_week,4.503043912731787e-08
total_cases_normalized,3.254551150312386e-08
new_deaths_normalized,2.366124206992362e-08
new_deaths,1.5871392194495923e-08
new_deaths_ma7_normalized,1.522436302377302e-08
quarter,8.847357838991295e-09
is_weekend,2.6226835070423607e-09
month,2.3182863720422168e-11
year,0.0
deaths_growth_rate_7d_normalized,0.0
