Feature,Importance
new_cases_normalized,0.9605533824276247
new_cases_ma7,0.011813849012747178
new_deaths_ma7,0.006628332580904419
new_deaths_ma7_normalized,0.005695867324747868
total_cases,0.004340536685609695
total_deaths,0.0025029874172693514
total_deaths_normalized,0.002388255750542773
new_cases_ma7_normalized,0.0023786395920634513
total_cases_normalized,0.001966216518532274
mortality_rate_normalized,0.0003949006650078406
day_of_week,0.0002738194279230113
cases_growth_rate_7d,0.00026724605311985217
deaths_growth_rate_7d,0.00023342487317617224
day,0.00020375848331271668
new_deaths,0.00013326811074719296
cases_growth_rate_7d_normalized,8.714946466774375e-05
new_deaths_normalized,7.487146265999207e-05
month,4.203029533269837e-05
is_weekend,2.1367053068426285e-05
quarter,9.680094284742763e-08
year,0.0
deaths_growth_rate_7d_normalized,0.0
