Feature,Importance
new_cases_normalized,0.8363115
new_deaths_ma7,0.16170229
new_cases_ma7,0.0016728914
total_cases,0.00028608803
day_of_week,9.54176e-06
deaths_growth_rate_7d,7.855043e-06
new_deaths,4.347175e-06
mortality_rate_normalized,4.110912e-06
day,8.5970834e-07
cases_growth_rate_7d,4.5580796e-07
month,0.0
year,0.0
total_deaths,0.0
is_weekend,0.0
total_cases_normalized,0.0
quarter,0.0
total_deaths_normalized,0.0
new_deaths_normalized,0.0
cases_growth_rate_7d_normalized,0.0
deaths_growth_rate_7d_normalized,0.0
new_cases_ma7_normalized,0.0
new_deaths_ma7_normalized,0.0
